Year	Network	Lap-by-lap	Pit reporters	Host
1960	CBS Sports Spectacular	Bud Palmer	Bud Palmer	Bud Palmer
1962	ABC's WWOS	Jim McKay	Chris Economaki	Jim McKay
1963	ABC's WWOS	Bill Flemming	Chris Economaki	Bill Flemming
1964	ABC's WWOS	Bill Flemming	Chris Economaki Stirling Moss	Bill Flemming
1965	ABC's WWOS	Bill Flemming	Bill Flemming	Bill Flemming
1966	ABC's WWOS	Curt Gowdy	Chris Economaki	Curt Gowdy
1967	ABC's WWOS	Jim McKay	Chris Economaki	Jim McKay
1968	ABC's WWOS	Bill Flemming	Bill Flemming	Bill Flemming
1969	ABC's WWOS	Bill Flemming	Bill Flemming	Bill Flemming
1970	ABC's WWOS	Keith Jackson	Chris Economaki	Keith Jackson
1971	ABC's WWOS	Keith Jackson	Chris Economaki	Keith Jackson
1972	ABC's WWOS	Keith Jackson	Chris Economaki	Keith Jackson
1973	ABC's WWOS	Jim McKay	Chris Economaki	Jim McKay
1974	ABC's WWOS	Keith Jackson	Chris Economaki	Keith Jackson
1975	ABC's WWOS	Bill Flemming	Bill Flemming	Bill Flemming
1976	ABC's WWOS	Bill Flemming	Chris Economaki	Bill Flemming
1977	ABC's WWOS	Jim McKay	Chris Economaki	Jim McKay
1978	ABC's WWOS	Jim McKay	Chris Economaki	Jim McKay
