Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Dan Cloutier	G	Canada	Sault Ste. Marie Greyhounds ( OHL )
2	Rudolf Vercik	LW	Slovakia	HC Slovan Bratislava ( Slovak Extraliga )
3	Adam Smith	D	Canada	Tacoma Rockets ( WHL )
4	Alexander Korobolin	D	Russia	Chelyabinsk Mechel (Rus-1)
4	Sylvain Blouin	LW	Canada	Laval Titan ( QMJHL )
5	Martin Ethier	D	Canada	Beauport Harfangs (QMJHL)
6	Yuri Litvinov	C	Russia	PHC Krylya Sovetov (Russia)
6	David Brosseau	RW	Canada	Shawinigan Cataractes (QMJHL)
7	Alexei Lazarenko	RW	Ukraine	HC CSKA Moscow (Russia)
8	Craig Anderson	D	United States	Park Center H.S. (Minnesota)
9	Vitali Yeremeyev	G	Kazakhstan	HC Kamenogorsk (Russia)
9	Eric Boulton	LW	Canada	Oshawa Generals (OHL)
10	Radoslav Kropac	Forward	Slovakia	HC Slovan Bratislava (Russia)
11	Jamie Butt	LW	Canada	Tacoma Rockets (WHL)
11	Kim Johnsson	D	Sweden	Malmo IF ( SEL )
