Rank	Rider	Team	Speed	Time
1	Adam Barclay	750cc Suzuki	119.605mph	37' 51.28
2	James McCullagh	750cc Suzuki	119.021mph	38' 02.41
3	Mickey Fitzpatrick	600cc Honda	117.530mph	38' 31.38
4	Scott Wilson	750cc Suzuki	117.223mph	38' 37.43
5	Noel Patterson	750cc Suzuki	116.731mph	38' 47.19
6	Wayne Kirwan	750cc Suzuki	116.731mph	38' 47.19
7	Michael Russell	600cc Yamaha	116.576mph	38' 50.29
8	Kevin Fitzpatrick	750cc Suzuki	116.168mph	38' 58.47
9	Jules Croft	750cc Suzuki	115.868mph	39' 04.53
10	Stephen Mcllvenna	600cc Yamaha	115.618mph	39' 09.59
