Week 1	Week 3	Week 4	Week 6	Week 7	Week 8	Week 9	Week 10	Final Week 12
Amit Bobby	Kashmera Rakhi	Rakhi Roopali	Deepak T Ragini	Deepak T Roopali	Amit Roopali	Amit Baba	Rakhi Roopali	Winner
Bobby Deepak P	Kashmera Rakhi	Anupama Rakhi	Anupama Deepak T	Deepak T Ravi	Baba Rakhi	Baba Rakhi	Amit Rakhi	Runner-Up
Bobby Deepak P	Kashmera Rakhi	Aryan Ragini	Amit Rahul	Deepak T Ragini	Amit Carol	Amit Baba	Carol Roopali	Third Place
Deepak P Rahul	Carol Rahul	Carol Ravi	Evicted (Day 30)	Ragini Roopali	Carol Roopali	Carol Roopali	Carol Roopali	Evicted (Day 84)
Deepak P Roopali	Aryan Kashmera	Aryan Rakhi	Ragini Roopali	Deepak T Ravi	Ragini Rakhi	Rahul Rakhi	Ravi Roopali	Evicted (Day 79)
Anupama Aryan	Kashmera Ragini	Anupama Ragini	Anupama Deepak T	Deepak T Rahul	Ragini Rahul	Rahul Rakhi	Rahul Rakhi	Evicted (Day 72)
Not in house	Not in house	Not in house	Not in house	Not in house	Ragini Rakhi	Carol Ravi	Evicted (Day 65)	Evicted (Day 65)
Bobby Deepak P	Deepak T Ravi	Rakhi Ravi	Anupama Ravi	Ravi Roopali	Carol Roopali	Evicted (Day 58)	Evicted (Day 58)	Evicted (Day 58)
Not in house	Kashmera Ragini	Ragini Rakhi	Rahul Rupali	Rahul Roopali	Evicted (Day 51)	Evicted (Day 51)	Evicted (Day 51)	Evicted (Day 51)
Carol Roopali	Amit Carol	Carol Ravi	Carol Roopali	Evicted (Day 44)	Evicted (Day 44)	Evicted (Day 44)	Evicted (Day 44)	Evicted (Day 44)
Deepak P Rahul	Carol Roopali	Carol Deepak T	Evicted (Day 37)	Evicted (Day 37)	Evicted (Day 37)	Evicted (Day 37)	Evicted (Day 37)	Evicted (Day 37)
Deepak P Rahul	Amit Carol	Evicted (Day 23)	Evicted (Day 23)	Evicted (Day 23)	Evicted (Day 23)	Evicted (Day 23)	Evicted (Day 23)	Guest
Ragini Ravi	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)	Evicted (Day 16)
Deepak P Ravi	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)	Evicted (Day 9)
Bobby Deepak P	Ejected (Day 8)	Ejected (Day 8)	Ejected (Day 8)	Ejected (Day 8)	Ejected (Day 8)	Ejected (Day 8)	Ejected (Day 8)	Ejected (Day 8)
none	none	none	none	none	none	none	none	none
Bobby Deepak P	Carol Kashmera	Carol Ragini Rakhi Ravi	Anupama Deepak T Ragini Rahul Roopali	Deepak T Ravi Roopali	Amit Carol Ragini Rakhi Roopali	Amit Baba Carol Rahul Rakhi	Rakhi Roopali	Carol Rahul Rakhi Ravi
Salil	none	none	none	none	none	none	none	none
Bobby	Kashmera	Rakhi	Anupama	Deepak T	Ragini	Baba	Roopali	Rakhi Ravi Carol
