1950	1960	1970	1980	1990	1996[2]
497	1,495	1,907	1,901	2,611	1,821
66	687	1,267	1,350	1,515	1,620
643	589	723	719	796	1,036
533	1,015	1,908	2,094	1,876	726
0	315	779	804	848	655
0	301	540	546	605	604
12	24	155	175	400	575
116	157	271	389	456	500
0	203	259	259	343	468
198	326	200	125	379	459
127	178	335	289	323	392
0	91	158	210	253	365
40	77	88	199	322	364
0	159	330	597	534	364
30	117	164	236	320	338
181	257	350	333	330	307
26	63	487	560	451	303
30	159	185	198	199	298
68	202	251	239	403	270
46	133	295	214	203	226
0	0	320	424	352	203
170	205	165	169	181	203
85	80	98	134	195	175
131	232	334	337	292	171
0	63	150	183	156	159
28	114	140	155	167	149
76	120	105	127	102	144
119	196	202	255	131	131
0	0	62	170	120	127
80	70	76	72	96	68
