Location	Control	Type	Enrollment	Founded
Wright-Patterson AFB, Ohio	Public	DRU	719	1919
Pasadena, California	Private	RU/VH	2,231	1891
San Luis Obispo, California	Public	Master's L	18,762	1901
Pomona, California	Public	Master's L	22,273	1938
Potsdam, NY	Private	RU/H	3,187	1896
Golden, Colorado	Public	RU/H	4,296	1874
Colorado Springs, Colorado	Private	DRU	30,020	1965
Melbourne, Florida	Private	DRU	8,985	1958
Atlanta, Georgia	Public	RU/VH	20,487	1885
Chicago, Illinois	Private	RU/H	7,787	1890
Cambridge, Massachusetts	Private	RU/VH	10,894	1861
Houghton, Michigan	Public	RU/H	6,957	1885
Rolla, Missouri	Public	RU/H	7,521	1870
Butte, Montana	Public	Bac/Diverse	2,694	1900
Newark, New Jersey	Private	RU/H	9,558	1881
Socorro, New Mexico	Public	Master's M	1,921	1889
Klamath Falls, Oregon	Public	Bac/Diverse	3,927	1947
Brooklyn, New York	Private	RU/H	4,514	1854
Troy, New York	Private	RU/VH	7,521	1824
Henrietta, New York	Private	Master's L	17,652	1829
Terre Haute, Indiana	Private	Spec/Engg	1,970	1874
Rapid City, South Dakota	Public	Spec/Engg	2,354	1885
Hoboken, New Jersey	Private	RU/H	5,260	1870
Lubbock, Texas	Public	RU/H	32,327	1923
Menomonie, Wisconsin	Public	Master's L	9,339	1891
Blacksburg, Virginia	Public	RU/VH	30,739	1872
Worcester, Massachusetts	Private	DRU	5,071	1865
