Date	Opponent	Venue	Result	Attendance
12 August 2001	Burnley	H	0–2	21,766
18 August 2001	Crewe Alexandra	A	2–0	7,933
25 August 2001	West Bromwich Albion	H	1–1	18,844
27 August 2001	Norwich City	A	0–2	16,820
8 September 2001	Birmingham City	A	0–2	19,421
15 September 2001	Wimbledon	A	1–1	7,348
17 September 2001	Bradford City	H	1–1	18,012
22 September 2001	Manchester City	H	2–6	25,731
25 September 2001	Rotherham United	A	1–1	8,474
29 September 2001	Crystal Palace	A	1–4	17,066
7 October 2001	Sheffield United	H	0–0	29,281
13 October 2001	Watford	A	1–3	14,456
16 October 2001	Preston North End	H	1–2	15,592
20 October 2001	Walsall	H	2–1	16,275
24 October 2001	Barnsley	H	3–1	21,008
27 October 2001	Coventry City	A	0–2	17,381
31 October 2001	Nottingham Forest	A	1–0	20,206
3 November 2001	Portsmouth	H	2–3	18,212
10 November 2001	Grimsby Town	H	0–0	17,507
18 November 2001	Wolverhampton Wanderers	A	0–0	19,947
24 November 2001	Stockport County	H	5–0	17,365
2 December 2001	Barnsley	A	0–3	16,714
8 December 2001	Millwall	H	1–1	21,304
15 December 2001	Gillingham	A	1–2	8,586
22 December 2001	West Bromwich Albion	A	1–1	20,340
26 December 2001	Birmingham City	H	0–1	24,335
29 December 2001	Norwich City	H	0–5	19,205
12 January 2002	Crewe Alexandra	H	1–0	16,737
19 January 2002	Burnley	A	2–1	16,081
29 January 2002	Sheffield United	A	0–0	29,364
2 February 2002	Crystal Palace	H	1–3	20,099
5 February 2002	Preston North End	A	2–4	14,038
9 February 2002	Walsall	A	3–0	8,290
16 February 2002	Watford	H	2–1	18,244
23 February 2002	Rotherham United	H	1–2	28,179
27 February 2002	Manchester City	A	0–4	33,682
2 March 2002	Bradford City	A	2–0	16,904
6 March 2002	Wimbledon	H	1–2	18,930
9 March 2002	Gillingham	H	0–0	20,361
16 March 2002	Millwall	A	2–1	13,074
23 March 2002	Portsmouth	A	0–0	14,819
29 March 2002	Coventry City	H	2–1	21,470
1 April 2002	Grimsby Town	A	0–0	9,236
6 April 2002	Nottingham Forest	H	0–2	21,782
13 April 2002	Stockport County	A	1–3	8,706
21 April 2002	Wolverhampton Wanderers	H	2–2	29,772
