Dates	Tournament	Location	Prize fund ( ￥ )	Winner	OWGR pts
Apr 15-18	Token Homemate Cup	Mie	130000000	Koumei Oda (4)	18
Apr 22-25	Tsuruya Open	Hyōgo	120000000	Hiroyuki Fujita (9)	18
Apr 29 - May 2	The Crowns	Aichi	120000000	Ryo Ishikawa (7)	20
May 13-16	Japan PGA Championship Nissin Cupnoodle Cup	Nagasaki	140000000	Toru Taniguchi (16)	20
May 27-30	Diamond Cup Golf	Saitama	120000000	Kim Kyung-tae (1)	20
Jun 24-27	Gateway to the Open Mizuno Open Yomiuri Classic	Hyōgo	130000000	Shunsuke Sonoda (1)	22
Jul 1-4	Toshin Golf Tournament in LakeWood	Mie	60000000	Yuta Ikeda (5)	18
Jul 8-11	The Championship by Lexus	Ibaraki	150000000	Takashi Kanemoto (2)	16
Jul 22-25	Nagashima Shigeo Invitational Sega Sammy Cup	Hokkaidō	130000000	Mamo Osanai (4)	18
Jul 29 - Aug 1	Sun Chlorella Classic	Hokkaidō	150000000	Tadahiro Takayama (3)	20
Aug 19-22	Kansai Open Golf Championship	Kyoto	50000000	Shigeru Nonaka (1)	16
Aug 26-29	Vana H Cup KBC Augusta	Fukuoka	110000000	Hideto Tanihara (9)	18
Sep 2-5	Fujisankei Classic	Yamanashi	110000000	Ryo Ishikawa (8)	18
Sep 16-19	ANA Open	Hokkaidō	110000000	Yuta Ikeda (6)	18
Sep 23-26	Asia-Pacific Panasonic Open	Hyōgo	150000000	Brendan Jones (9)	22
Sep 30 - Oct 3	Coca-Cola Tokai Classic	Aichi	120000000	Michio Matsumura (1)	18
Oct 7-10	Canon Open	Kanagawa	150000000	Shinichi Yokota (2)	18
Oct 14-17	Japan Open Golf Championship	Aichi	200000000	Kim Kyung-tae (2)	32
Oct 21-24	Bridgestone Open	Chiba	150000000	Yuta Ikeda (7)	22
Oct 28-31	Mynavi ABC Championship	Hyōgo	150000000	Kim Kyung-tae (3)	20
Nov 11-14	Mitsui Sumitomo VISA Taiheiyo Masters	Shizuoka	150000000	Ryo Ishikawa (9)	20
Nov 18-21	Dunlop Phoenix	Miyazaki	200000000	Yuta Ikeda (8)	30
Nov 25-28	Casio World Open	Kōchi	200000000	Michio Matsumura (2)	24
