State (class)	Vacator	Reason for change	Successor	Date of successors formal installation
Tennessee (2)	Vacant	Failure to elect	Spencer Jarnagin ( W )	Elected October 17, 1843
Maine (1)	Vacant	Rep Reuel Williams resigned in previous congress	John Fairfield ( D )	Elected December 4, 1843
Illinois (2)	Samuel McRoberts ( D )	Died March 27, 1843	James Semple ( D )	Elected December 4, 1843
Missouri (3)	Lewis F. Linn ( D )	Died October 3, 1843	David R. Atchison ( D )	Elected December 14, 1843
Rhode Island (1)	William Sprague ( D )	Resigned January 17, 1844	John B. Francis ( LO )	Elected January 25, 1844
Arkansas (2)	William S. Fulton ( D )	Died August 15, 1844	Chester Ashley ( D )	Elected November 8, 1844
New York (3)	Henry A. Foster ( D )	Successor elected January 27, 1845	John A. Dix ( D )	Elected January 27, 1845
South Carolina (2)	Daniel E. Huger ( D )	Resigned March 3, 1845	Vacant	Not filled this term
Florida (1)	Vacant	Florida admitted to the Union March 3, 1845	Vacant	Not filled this term
