City	Country	IATA	ICAO	Airport
Abidjan	Côte d'Ivoire	ABJ	DIAP	Port Bouet Airport
Abu Dhabi	United Arab Emirates	AUH	OMAA	Abu Dhabi International Airport [T]
Accra	Ghana	ACC	DGAA	Kotoka International Airport
Addis Ababa	Ethiopia	ADD	HAAB	Bole International Airport
Adelaide	Australia	ADL	YPAD	Adelaide Airport
Ahmedabad	India	AMD	VAAH	Sardar Vallabhbhai Patel International Airport
Alexandria	Egypt	HBE	HEBA	Borg El Arab Airport [T]
Algiers	Algeria	ALG	DAAG	Houari Boumediene Airport
Amman	Jordan	AMM	OJAI	Queen Alia International Airport
Amsterdam	Netherlands	AMS	EHAM	Amsterdam Schiphol Airport
Athens	Greece	ATH	LGAV	Athens Eleftherios Venizelos International Airport
Auckland	New Zealand	AKL	NZAA	Auckland Airport
Baghdad	Iraq	BGW	ORBI	Baghdad International Airport
Bahrain	Bahrain	BAH	OBBI	Bahrain International Airport
Baku	Azerbaijan	GYD	UBBB	Heydar Aliyev International Airport [T]
Bandar Abbas	Iran	BND	OIKB	Bandar Abbas International Airport [T]
Bangalore	India	BLR	VOBL	Bengaluru International Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Barcelona	Spain	BCN	LEBL	Barcelona El Prat Airport
Basra	Iraq	BSR	ORMM	Basra International Airport
Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Beirut	Lebanon	BEY	OLBA	Beirut Rafic Hariri International Airport
Birmingham	United Kingdom	BHX	EGBB	Birmingham Airport
Boston * [begins 10 March 2014]	United States	BOS	KBOS	Logan International Airport
Brisbane	Australia	BNE	YBBN	Brisbane Airport
Buenos Aires	Argentina	EZE	SAEZ	Ministro Pistarini International Airport
Cairo	Egypt	CAI	HECA	Cairo International Airport
Cape Town	South Africa	CPT	FACT	Cape Town International Airport
Casablanca	Morocco	CMN	GMMN	Mohammed V International Airport
Chennai	India	MAA	VOMM	Chennai International Airport
Christchurch	New Zealand	CHC	NZCH	Christchurch International Airport
Clark	Philippines	CRK	RPLC	Clark International Airport
Colombo	Sri Lanka	CMB	VCBI	Bandaranaike International Airport
Conakry	Guinea	CKY	GUCY	Conakry International Airport
Copenhagen	Denmark	CPH	EKCH	Copenhagen Airport
Dakar	Senegal	DKR	GOOY	Léopold Sédar Senghor International Airport
Dallas/Fort Worth	United States	DFW	KDFW	Dallas/Fort Worth International Airport
Dammam	Saudi Arabia	DMM	OEDF	King Fahd International Airport
Damascus	Syria	DAM	DAMC	Damascus International Airport
Dar es Salaam	Tanzania	DAR	HDTA	Julius Nyerere International Airport
Delhi	India	DEL	VIDP	Indira Gandhi International Airport
Dhaka	Bangladesh	DAC	VGZR	Shahjalal International Airport
Doha	Qatar	DOH	OTBD	Doha International Airport
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport [Hub]
Dublin	Ireland	DUB	EIDW	Dublin Airport
Durban	South Africa	DUR	FALE	King Shaka International Airport
Düsseldorf	Germany	DUS	EDDL	Düsseldorf Airport
Entebbe	Uganda	EBB	HUEN	Entebbe International Airport
Erbil	Iraq	EBL	ORER	Erbil International Airport
Frankfurt	Germany	FRA	EDDF	Frankfurt Airport
Geneva	Switzerland	GVA	LSGG	Geneva Cointrin International Airport
Glasgow	United Kingdom	GLA	EGPF	Glasgow Airport
Guangzhou	China	CAN	ZGGG	Guangzhou Baiyun International Airport
Hamburg	Germany	HAM	EDDH	Hamburg Airport
Harare	Zimbabwe	HRE	FVHA	Harare International Airport
Ho Chi Minh City	Vietnam	SGN	VVTS	Tan Son Nhat International Airport
Hong Kong	Hong Kong	HKG	VHHH	Hong Kong International Airport
Houston	United States	IAH	KIAH	George Bush Intercontinental Airport
Hyderabad	India	HYD	VOHS	Rajiv Gandhi International Airport
Islamabad	Pakistan	ISB	OPRN	Benazir Bhutto International Airport
Istanbul	Turkey	IST	LTBA	Atatürk International Airport
Jakarta	Indonesia	CGK	WIII	Soekarno–Hatta International Airport
Jeddah	Saudi Arabia	JED	OEJN	King Abdulaziz International Airport
Johannesburg	South Africa	JNB	FAJS	OR Tambo International Airport
Kabul * [begins 4 December 2013]	Afghanistan	KBL	OAKB	Kabul International Airport
Karachi	Pakistan	KHI	OPKC	Jinnah International Airport
Khartoum	Sudan	KRT	HSSS	Khartoum International Airport
Kiev * [begins 16 January 2014]	Ukraine	KBP	UKBB	Boryspil International Airport
Kochi	India	COK	VOCI	Cochin International Airport
Kolkata	India	CCU	VECC	Netaji Subhash Chandra Bose International Airport
Kozhikode	India	CCJ	VOCL	Calicut International Airport
Kuala Lumpur	Malaysia	KUL	WMKK	Kuala Lumpur International Airport
Kuwait	Kuwait	KWI	OKBK	Kuwait International Airport
Lagos	Nigeria	LOS	DNMM	Murtala Muhammed International Airport
Lahore	Pakistan	LHE	OPLA	Allama Iqbal International Airport
Larnaca	Cyprus	LCA	LCLK	Larnaca International Airport
Lisbon	Portugal	LIS	LPPT	Lisbon Portela Airport
London	United Kingdom	LGW	EGKK	Gatwick Airport
London	United Kingdom	LHR	EGLL	London Heathrow Airport
Los Angeles	United States	LAX	KLAX	Los Angeles International Airport
Luanda	Angola	LAD	FNLU	Quatro de Fevereiro Airport
Lusaka	Zambia	LUN	FLLS	Lusaka International Airport
Lyon	France	LYS	LFLL	Lyon-Saint Exupéry Airport
Madrid	Spain	MAD	LEMD	Madrid-Barajas Airport
Mahé	Seychelles	SEZ	FSIA	Seychelles International Airport
Malé	Maldives	MLE	VRMM	Ibrahim Nasir International Airport
Malta	Malta	MLA	LMML	Malta International Airport
Manchester	United Kingdom	MAN	EGCC	Manchester Airport
Manila	Philippines	MNL	RPLL	Ninoy Aquino International Airport
Mauritius	Mauritius	MRU	FIMP	Sir Seewoosagur Ramgoolam International Airport
Medina	Saudi Arabia	MED	OEMA	Prince Mohammad Bin Abdulaziz Airport
Melbourne	Australia	MEL	YMML	Melbourne Airport
Milan	Italy	MXP	LIMC	Milan Malpensa Airport
Moroni	Comoros	HAH	FMCH	Prince Said Ibrahim International Airport [T]
Moscow	Russia	DME	UUDD	Domodedovo International Airport
Mumbai	India	BOM	VABB	Chhatrapati Shivaji International Airport
Munich	Germany	MUC	EDDM	Munich Airport
Muscat	Oman	MCT	OOMS	Muscat International Airport
Nagoya	Japan	NGO	RJGG	Chūbu Centrair International Airport [T]
Nairobi	Kenya	NBO	HKJK	Jomo Kenyatta International Airport
Newcastle upon Tyne	United Kingdom	NCL	EGNT	Newcastle Airport
New York City	United States	JFK	KJFK	John F. Kennedy International Airport
Nice	France	NCE	LFMN	Nice Côte d'Azur Airport
Osaka	Japan	KIX	RJBB	Kansai International Airport
Paris	France	CDG	LFPG	Paris-Charles de Gaulle Airport
Perth	Australia	PER	YPPH	Perth Airport
Peshawar	Pakistan	PEW	OPPS	Bacha Khan International Airport
Phuket	Thailand	HKT	VTSP	Phuket International Airport
Prague	Czech Republic	PRG	LKPR	Prague Ruzyně Airport
Rio de Janeiro	Brazil	GIG	SBGL	Rio de Janeiro-Galeão International Airport
Riyadh	Saudi Arabia	RUH	OERK	King Khalid International Airport
Rome	Italy	FCO	LIRF	Leonardo da Vinci-Fiumicino Airport
Sana'a	Yemen	SAH	OYSN	Sana'a International Airport
San Francisco	United States	SFO	KSFO	San Francisco International Airport
São Paulo	Brazil	GRU	SBGR	São Paulo-Guarulhos International Airport
Seattle	United States	SEA	KSEA	Seattle-Tacoma International Airport
Seoul	South Korea	ICN	RKSI	Incheon International Airport
Shanghai	China	PVG	ZSPD	Shanghai Pudong International Airport
Sialkot * [begins 5 November 2013]	Pakistan	SKT	OPST	Sialkot International Airport
Singapore	Singapore	SIN	WSSS	Singapore Changi Airport
Saint Petersburg	Russia	LED	ULLI	Pulkovo Airport
Stockholm	Sweden	ARN	ESSA	Stockholm Arlanda Airport
Sydney	Australia	SYD	YSSY	Sydney Airport
Taipei * [begins 10 February 2014]	Taiwan	TPE	RCTP	Taiwan Taoyuan International Airport
Tehran	Iran	IKA	OIIE	Tehran Imam Khomeini International Airport
Thiruvananthapuram	India	TRV	VOTV	Trivandrum International Airport
Tokyo	Japan	HND	RJTT	Haneda Airport
Tokyo	Japan	NRT	RJAA	Narita International Airport
Toronto	Canada	YYZ	CYYZ	Toronto Pearson International Airport
Tripoli	Libya	TIP	HLLT	Tripoli International Airport
Tunis	Tunisia	TUN	DTTA	Tunis–Carthage International Airport
Venice	Italy	VCE	LIPZ	Venice Marco Polo Airport
Vienna	Austria	VIE	LOWW	Vienna International Airport
Warsaw	Poland	WAW	EPWA	Warsaw Chopin Airport
Washington, D.C.	United States	IAD	KIAD	Washington Dulles International Airport
Zurich	Switzerland	ZRH	LSZH	Zurich Airport
