Date	at/vs.	Opponent'	Score'	Attendance	Record
January 12, 1990	at	New York Saints	9 - 4	10,126	Win
January 13, 1990	vs.	Pittsburgh Bulls	13 - 8	16,101	Win
February 11, 1990	vs.	Detroit Turbos	21 - 19	15,204	Win
February 17, 1990	at	Baltimore Thunder	14 - 13	10,904	Win
March 3, 1990	at	Pittsburgh Bulls	9 - 8	12,121	Win
March 11, 1990	vs.	Baltimore Thunder	10 - 9	16,711	Win
March 16, 1990	at	New England Blazers	11 - 13	10,551	Loss
March 24, 1990	vs.	New York Saints	5 - 8	17,177	Loss
April 7, 1990	vs.	New York Saints	11 - 10	13,552	Win
April 13, 1990	at	New England Blazers	17 - 7 *	11,479	Win
