Date	Ship	Nationality	Tonnage	Fate
2 December 1940	Stirlingshire	Great Britain	6,022	Sunk
2 December 1940	Wilhemina	Great Britain	6,725	Sunk
11 December 1940	Empire Statesman	Great Britain	5,306	Sunk
20 January 1941	Florian	Great Britain	3,174	Sunk
29 January 1941	West Wales	Great Britain	4,353	Sunk
30 January 1941	Rushpool	Great Britain	5,125	Sunk
4 April 1941	Harbledown	Great Britain	5,414	Sunk
6 April 1941	Lincoln Ellsworth	Norway	5,580	Sunk
7 May 1941	Ixon	Great Britain	10,263	Sunk
7 May 1941	Eastern Star	Norway	5,658	Sunk
20 May 1941	John P. Pedersen	Norway	6,128	Sunk
20 May 1941	Norman Monarch	Great Britain	4,718	Sunk
15 September 1941	Newbury	Great Britain	5,102	Sunk
15 September 1941	Pegasus	Greece	5,762	Sunk
15 September 1941	Empire Eland	Great Britain	5,613	Sunk
1 October 1941	San Florentino	Great Britain	12,842	Sunk
24 February 1942	Empire Hail	Great Britain	7,005	Sunk
9 March 1942	Cayrǘ	Brazil	5,152	Sunk
11 March 1942	Hvoslef	Norway	1,630	Sunk
25 March 1942	Imperial Transport	Great Britain	8,022	Damaged
12 May 1942	Cocle	Panama	5,630	Sunk
13 May 1942	Tolken	Sweden	4,471	Sunk
13 May 1942	Batna	Great Britain	4,399	Sunk
5 June 1942	Maria da Glória *	Portugal	320	Sunk
10 June 1942	Ramsay	Great Britain	4,855	Sunk
10 June 1942	Empire Clough	Great Britain	6,147	Sunk
11 June 1942	Pontypridd	Great Britain	4,458	Sunk
