Driver	Constructor	Laps	Time/Retired	Grid
Fernando Alonso	Renault	57	1:29:18.531	1
Jarno Trulli	Toyota	57	+13.409	3
Kimi Räikkönen	McLaren - Mercedes	57	+32.063	9
Ralf Schumacher	Toyota	57	+53.272	6
Pedro de la Rosa	McLaren - Mercedes	57	+1:04.988	8
Mark Webber	Williams - BMW	57	+1:14.701	5
Felipe Massa	Sauber - Petronas	56	+1 Lap	12
David Coulthard	Red Bull - Cosworth	56	+1 Lap	14
Rubens Barrichello	Ferrari	56	+1 Lap	20
Tiago Monteiro	Jordan - Toyota	55	+2 Laps	16
Jacques Villeneuve	Sauber - Petronas	54	Suspension	15
Patrick Friesacher	Minardi - Cosworth	54	+3 Laps	19
Christijan Albers	Minardi - Cosworth	53	+4 Laps	18
Jenson Button	BAR - Honda	46	Clutch	11
Takuma Sato	BAR - Honda	27	Brakes	13
Nick Heidfeld	Williams - BMW	25	Engine	4
Michael Schumacher	Ferrari	12	Hydraulics	2
Giancarlo Fisichella	Renault	4	Engine	10
Narain Karthikeyan	Jordan - Toyota	2	Electrical	17
Christian Klien	Red Bull - Cosworth	0	Electrical	7
