Gymnast	Start Value	Penalty	Average	Total
Gervasio Deferr ( ESP )	9.90	—	9.687	9.737
Gervasio Deferr ( ESP )	9.90	—	9.787	9.737
Evgeni Sapronenko ( LAT )	10.00	—	9.712	9.706
Evgeni Sapronenko ( LAT )	10.00	—	9.700	9.706
Marian Drăgulescu ( ROU )	10.00	—	9.900	9.612
Marian Drăgulescu ( ROU )	9.90	—	9.325	9.612
Kyle Shewfelt ( CAN )	9.90	—	9.687	9.599
Kyle Shewfelt ( CAN )	9.90	—	9.512	9.599
Filip Yanev ( BUL )	9.90	—	9.625	9.581
Filip Yanev ( BUL )	9.90	—	9.537	9.581
Róbert Gál ( HUN )	9.90	—	9.525	9.537
Róbert Gál ( HUN )	9.90	—	9.550	9.537
Li Xiaopeng ( CHN )	9.90	—	9.075	9.368
Li Xiaopeng ( CHN )	10.00	—	9.662	9.368
Alexei Bondarenko ( RUS )	10.00	—	9.100	4.550
Alexei Bondarenko ( RUS )	0.00	—	0.000	4.550
