#	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (in millions)
1	"Prophecy"	Mark Beesley	John Shiban & Ken Biller & Stephen Tolkin	November1,2008	101	5.88
2	"Destiny"	Mark Beesley	Ken Biller & Barry Schkolnick	November1,2008	102	5.0
3	"Bounty"	Jesse Warn	Chad Fiveash & James Stoteraux	November8,2008	104	4.31
4	"Brennidon"	Jonathan Brough	Erin Maher & Kay Reindl	November15,2008	105	4.21
5	"Listener"	Mark Beesley	Stephen Tolkin	November22,2008	106	4.24
6	"Elixir"	Charlie Haskell	Mike Sussman	November29,2008	103	3.0
7	"Identity"	Garth Maxwell	Chad Fiveash & James Stoteraux	December6,2008	107	3.55
8	"Denna"	Michael Hurst	Ken Biller & Mike Sussman	January10,2009	108	3.40
9	"Puppeteer"	Mark Beesley	Nicki Paluga	January17,2009	109	3.21
10	"Sacrifice"	Michael Hurst	Chad Fiveash & James Stoteraux	January24,2009	111	2.83
11	"Confession"	Garth Maxwell	Barry Schkolnick	January31,2009	110	2.55
12	"Home"	Charlie Haskell	Stephen Tolkin	February21,2009	114	3.21
13	"Revenant"	Geoffrey Cawthorn	Erin Maher & Kay Reindl	February28,2009	112	3.40
14	"Hartland"	Mark Beesley	Mike Sussman	March7,2009	113	3.25
15	"Conversion"	Andrew Merrifield	Chad Fiveash & James Stoteraux	March14,2009	115	3.10
16	"Bloodline"	Garth Maxwell	Nicole Paluga	March21,2009	116	2.71
17	"Deception"	Chris Martin-Jones	Raf Green	March28,2009	117	2.70
18	"Mirror"	Jonathan Brough	Story: Michael K. Sheeter Teleplay: Stephen Tolkin	April25,2009	118	2.58
19	"Cursed"	Mark Beesley	Chad Fiveash & James Stoteraux	May2,2009	119	2.37
20	"Sanctuary"	Garth Maxwell	Mike Sussman	May9,2009	120	2.10
21	"Fever"	Jonathan Brough	Nicki Paluga	May16,2009	121	1.95
