State	Interview	Swimsuit	Evening gown	Average
Alabama	7.633	7.639	8.148	7.807
Alaska	8.939	8.022	8.021	8.327
Arizona	7.956	7.547	7.698	7.734
Arkansas	7.482	7.241	7.992	7.572
California	8.372	7.709	8.378	8.153
Colorado	8.311	7.778	7.888	7.992
Connecticut	7.406	7.427	7.577	7.470
Delaware	8.128	7.584	8.411	8.041
District of Columbia	8.187	8.358	8.088	8.211
Florida	7.967	8.220	8.088	8.092
Georgia	8.944	8.217	8.329	8.497
Hawaii	6.994	7.673	7.672	7.446
Idaho	7.561	7.036	7.239	7.279
Illinois	8.317	8.294	8.372	8.328
Indiana	8.717	7.438	7.644	7.933
Iowa	7.600	7.700	7.327	7.542
Kansas	8.078	8.167	8.350	8.198
Kentucky	8.733	8.383	8.338	8.485
Louisiana	8.044	8.094	7.848	7.995
Maine	7.678	7.620	7.322	7.540
Maryland	8.121	7.868	7.872	7.954
Massachusetts	7.638	7.180	7.287	7.368
Michigan	8.481	8.303	8.649	8.478
Minnesota	7.971	7.948	7.783	7.901
Mississippi	8.316	8.271	8.161	8.249
Missouri	8.449	8.009	7.861	8.106
Montana	7.250	7.004	6.987	7.080
Nebraska	8.394	7.123	7.326	7.614
Nevada	8.000	7.861	7.947	7.936
New Hampshire	7.744	7.411	7.423	7.526
New Jersey	8.711	7.753	8.306	8.257
New Mexico	7.472	7.367	7.437	7.425
New York	8.444	8.140	7.928	8.171
North Carolina	7.561	7.556	7.546	7.554
North Dakota	8.139	7.444	7.809	7.797
Ohio	8.244	8.294	8.544	8.361
Oklahoma	8.144	8.150	7.989	8.094
Oregon	8.128	7.290	6.833	7.417
Pennsylvania	7.944	7.552	7.806	7.767
Rhode Island	7.089	7.543	7.428	7.353
South Carolina	8.589	8.314	8.641	8.515
South Dakota	7.233	7.604	7.249	7.362
Tennessee	8.526	8.186	8.614	8.442
Texas	8.156	8.310	8.279	8.248
Utah	8.722	7.838	7.606	8.055
Vermont	7.267	7.256	6.983	7.169
Virginia	8.310	8.189	7.622	8.040
Washington	7.817	7.960	7.700	7.826
West Virginia	7.894	7.706	8.022	7.874
Wisconsin	8.028	7.670	7.589	7.762
Wyoming	7.650	8.012	8.128	7.930
