Stage	Winner	General classification	Points classification	Mountains classification	Combination classification	Team classification
1	ONCE-Eroski	Joseba Beloki	no award	no award	Joseba Beloki	ONCE-Eroski
2	Danilo di Luca	Joseba Beloki	Danilo di Luca	Mederic Clain	Vitoriano Fernandez	ONCE-Eroski
3	Mario Cipollini	Joseba Beloki	Erik Zabel	Mederic Clain	Mederic Clain	ONCE-Eroski
4	Mario Cipollini	Joseba Beloki	Erik Zabel	Mederic Clain	Vitoriano Fernandez	ONCE-Eroski
5	Guido Trentin	Mikel Zarrabeitia	Erik Zabel	Mederic Clain	Guido Trentin	ONCE-Eroski
6	Roberto Heras	Óscar Sevilla	Erik Zabel	Mederic Clain	Félix Garcia	ONCE-Eroski
7	Mario Cipollini	Óscar Sevilla	Erik Zabel	Mederic Clain	Félix Garcia	ONCE-Eroski
8	Aitor González	Óscar Sevilla	Erik Zabel	Gilberto Simoni	Óscar Sevilla	ONCE-Eroski
9	Pablo Lastras	Óscar Sevilla	Erik Zabel	Gilberto Simoni	Óscar Sevilla	ONCE-Eroski
10	Aitor González	Óscar Sevilla	Erik Zabel	Gilberto Simoni	Óscar Sevilla	Kelme-Costa Blanca
11	Pablo Lastras	Óscar Sevilla	Erik Zabel	Gilberto Simoni	Óscar Sevilla	Kelme-Costa Blanca
12	Alessandro Petacchi	Óscar Sevilla	Erik Zabel	Gilberto Simoni	Óscar Sevilla	Kelme-Costa Blanca
13	Giovanni Lombardi	Óscar Sevilla	Erik Zabel	Gilberto Simoni	Óscar Sevilla	Team Coast
14	Sergei Smetanine	Óscar Sevilla	Erik Zabel	Gilberto Simoni	Óscar Sevilla	Team Coast
15	Roberto Heras	Roberto Heras	Erik Zabel	Gilberto Simoni	Roberto Heras	Kelme-Costa Blanca
16	Santiago Botero	Roberto Heras	Erik Zabel	Aitor Osa	Roberto Heras	Kelme-Costa Blanca
17	Angelo Furlan	Roberto Heras	Erik Zabel	Aitor Osa	Roberto Heras	Kelme-Costa Blanca
18	Santiago Blanco	Roberto Heras	Erik Zabel	Roberto Heras	Roberto Heras	Kelme-Costa Blanca
19	Jose Vicente Garcia Acosta	Roberto Heras	Erik Zabel	Aitor Osa	Roberto Heras	Kelme-Costa Blanca
20	Angelo Furlan	Roberto Heras	Erik Zabel	Aitor Osa	Roberto Heras	Kelme-Costa Blanca
21	Aitor González	Aitor González	Erik Zabel	Aitor Osa	Roberto Heras	Kelme-Costa Blanca
