Place	Player	Country	Score	To par	Money ( $ )
1	Craig Wood	United States	73-71-70-70=284	+4	1,000
2	Denny Shute	United States	69-75-72-71=287	+7	800
T3	Johnny Bulla	United States	75-71-72-71=289	+9	650
T3	Ben Hogan	United States	74-77-68-70=289	+9	650
T5	Herman Barron	United States	75-71-74-71=291	+11	413
T5	Paul Runyan	United States	73-72-71-75=291	+11	413
T7	Dutch Harrison	United States	70-82-71-71=294	+14	216
T7	Harold McSpaden	United States	71-75-74-74=294	+14	216
T7	Gene Sarazen	United States	74-73-72-75=294	+14	216
T10	Ed Dudley	United States	74-74-74-73=295	+15	125
T10	Lloyd Mangrum	United States	73-74-72-76=295	+15	125
T10	Dick Metz	United States	71-74-76-74=295	+15	125
