Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	13-5	Fábio Maldonado	Decision (unanimous)	UFC on FX: Belfort vs. Rockhold	3	5:00	Jaraguá do Sul , Brazil
Loss	13-4	Matt Hamill	Decision (unanimous)	UFC 152	3	5:00	Toronto, Ontario , Canada
Win	13-3	John Hawk	Decision (split)	Bellator 57	3	5:00	Rama, Ontario , Canada
Win	12-3	Martin Desilets	TKO (punches)	Ringside MMA 10: Cote vs. Starnes	2	1:39	Montreal, Que , Canada
Win	11-3	Mychal Clark	Decision (unanimous)	W-1 New Ground	3	5:00	Halifax, NS , Canada
Win	10-3	Aron Lofton	Submission (armbar)	HeatXC 4: Hysteria	1	3:02	Edmonton, Alberta , Canada
Win	9-3	Chris Peak	Submission (kimura)	ECC 10: Demolition	1	1:45	Halifax, Nova Scotia , Canada
Loss	8-3	David Heath	Submission (guillotine choke)	MFC 20	1	1:58	Edmonton, Alberta , Canada
Loss	8-2	Emanuel Newton	Decision (unanimous)	MFC 19	5	5:00	Edmonton, Alberta , Canada
Win	8-1	Marcus Hicks	TKO (punches)	ECC 8: Comeback	1	1:35	Halifax, Nova Scotia , Canada
Loss	7-1	Lew Polley	TKO (punches)	ECC 6: Hometown Heroes	1	4:02	Halifax, Nova Scotia , Canada
Win	7-0	Victor Valimaki	Submission (strikes)	MFC 13: Lucky 13	1	2:06	Edmonton, Alberta , Canada
Win	6-0	Shane Biever	KO (punches)	MFC 12: High Stakes	1	0:15	Edmonton, Alberta , Canada
Win	5-0	Ricardeau Francois	Submission (punches)	ECC 5: A Night of Champions	1	0:20	Halifax, Nova Scotia , Canada
Win	4-0	Mike Maurer	KO (punches)	MFC 11: Gridiron	1	0:36	Edmonton, Alberta , Canada
Win	3-0	Pay Penny	Submission(rear naked choke)	ECC 4: Fury	1	2:37	Halifax, Nova Scotia , Canada
Win	2-0	Jason Cecil	Submission(keylock)	ECC 3: East Coast Warriors	1	1:41	Halifax, Nova Scotia , Canada
Win	1-0	Peter Rogers	Submission(armbar)	ECC 1: The Beginning	1	3:50	Halifax, Nova Scotia , Canada
