Title	Series	Director	Release date	reissue?
Don't Give Up the Sheep	LT	Charles M. Jones	1953-01-03	No
Snow Business	LT	I. Freleng	1953-01-17	No
A Mouse Divided	MM	I. Freleng	1953-01-31	No
Forward March Hare	LT	Charles M. Jones	1953-02-14	No
Kiss Me Cat	LT	Charles M. Jones	1953-02-21	No
Duck Amuck	MM	Charles M. Jones	1953-02-28	No
Upswept Hare	MM	Robert McKimson	1953-03-14	Yes
A Peck o' Trouble	LT	Robert McKimson	1953-03-28	Yes
Fowl Weather	MM	I. Freleng	1953-04-04	Yes
Muscle Tussle	MM	Robert McKimson	1953-04-18	Yes
Southern Fried Rabbit	LT	I. Freleng	1953-05-02	No
Ant Pasted	LT	I. Freleng	1953-05-09	No
Much Ado About Nutting	MM	Charles M. Jones	1953-05-23	No
There Auto Be A Law	LT	Robert McKimson	1953-06-06	No
Hare Trimmed	MM	I. Freleng	1953-06-20	No
Tom Tom Tomcat	MM	I. Freleng	1953-06-27	Yes
Wild Over You	LT	Charles M. Jones	1953-07-11	No
Duck Dodgers in the 24½th Century	MM	Charles M. Jones	1953-07-25	No
Bully for Bugs	LT	Charles M. Jones	1953-08-08	No
Plop Goes the Weasel	LT	Robert McKimson	1953-08-22	No
Cat-Tails for Two	MM	Robert McKimson	1953-08-29	Yes
A Street Cat Named Sylvester	LT	I. Freleng	1953-09-05	No
Zipping Along	MM	Charles M. Jones	1953-09-19	No
Duck! Rabbit, Duck!	MM	Charles M. Jones	1953-10-03	No
Easy Peckins	LT	Robert McKimson	1953-10-17	Yes
Catty Cornered	MM	I. Freleng	1953-10-31	No
Of Rice and Hen	LT	Robert McKimson	1953-11-14	No
Cat's A-Weigh	MM	Robert McKimson	1953-11-28	No
Robot Rabbit	LT	I. Freleng	1953-12-12	No
Punch Trunk	LT	Charles M. Jones	1953-12-19	No
