Stage	Winner	General classification	Points classification	Mountains classification	Team classification
P	Tony Rominger	Tony Rominger	Tony Rominger	not awarded	Banesto
1	Laurent Jalabert	Tony Rominger	Tony Rominger	not awarded	Banesto
2	Laurent Jalabert	Tony Rominger	Laurent Jalabert	José Manuel Uría	Banesto
3	Peter Sagan	Tony Rominger	Laurent Jalabert	Ignacio García Camacho	Banesto
4	Endrio Leoni	Tony Rominger	Laurent Jalabert	Luc Leblanc	Banesto
5	Tony Rominger	Tony Rominger	Laurent Jalabert	Luc Leblanc	Mapei-CLAS
6	Simone Biasci	Tony Rominger	Laurent Jalabert	Luc Leblanc	Mapei-CLAS
7	Tony Rominger	Tony Rominger	Laurent Jalabert	Tony Rominger	Mapei-CLAS
8	Jean-Paul van Poppel	Tony Rominger	Laurent Jalabert	Luc Leblanc	Banesto
9	Ángel Camargo	Tony Rominger	Laurent Jalabert	Tony Rominger	Banesto
10	Tony Rominger	Tony Rominger	Tony Rominger	Tony Rominger	Mapei-CLAS
11	Laurent Jalabert	Tony Rominger	Laurent Jalabert	Tony Rominger	Mapei-CLAS
12	Laurent Jalabert	Tony Rominger	Laurent Jalabert	Tony Rominger	Mapei-CLAS
13	Tony Rominger	Tony Rominger	Laurent Jalabert	Tony Rominger	Mapei-CLAS
14	Alessio Di Basco	Tony Rominger	Laurent Jalabert	Tony Rominger	Banesto
15	Laurent Jalabert	Tony Rominger	Laurent Jalabert	Tony Rominger	Banesto
16	Bart Voskamp	Tony Rominger	Laurent Jalabert	Tony Rominger	Banesto
17	Giuseppe Calcaterra	Tony Rominger	Laurent Jalabert	Luc Leblanc	Banesto
18	Marino Alonso	Tony Rominger	Laurent Jalabert	Luc Leblanc	Banesto
19	Tony Rominger	Tony Rominger	Tony Rominger	Luc Leblanc	Banesto
20	Laurent Jalabert	Tony Rominger	Laurent Jalabert	Luc Leblanc	Banesto
Final	Final	Tony Rominger	Laurent Jalabert	Luc Leblanc	Banesto
