County	Per capita income	Median household income	Median family income	Population	Number of households
Williamson	$41,220	$87,832	$100,407	183,182	64,886
Wilson	$27,814	$60,678	$70,092	113,993	42,563
Davidson	$27,780	$45,668	$56,084	626,681	259,499
Knox	$27,349	$46,759	$62,272	432,226	177,249
United States	$27,334	$51,914	$62,982	308,745,538	116,716,292
Loudon	$27,046	$49,343	$59,044	48,556	19,826
Fayette	$26,898	$56,729	$63,186	38,413	14,505
Moore	$26,678	$44,433	$57,888	6,362	2,492
Hamilton	$26,588	$45,408	$58,004	336,463	136,682
Sumner	$26,014	$54,916	$65,313	160,645	60,975
Shelby	$25,002	$44,705	$55,923	927,644	350,971
Cheatham	$24,392	$52,585	$61,603	39,105	14,520
Rutherford	$24,390	$53,770	$63,483	262,604	96,232
Anderson	$24,242	$44,650	$55,895	75,129	31,253
Washington	$24,114	$41,256	$51,712	122,979	51,322
Blount	$24,071	$47,322	$56,516	123,010	49,265
Tennessee	$23,722	$43,314	$53,246	6,346,105	2,493,552
Sullivan	$23,263	$39,957	$50,677	156,823	66,298
Roane	$23,196	$42,698	$51,924	54,181	22,376
Maury	$23,136	$46,278	$56,241	80,956	31,663
Madison	$22,948	$40,178	$52,043	98,294	38,073
Lincoln	$22,811	$42,962	$53,075	33,361	13,382
Robertson	$22,658	$50,820	$58,589	66,283	24,197
Montgomery	$22,092	$48,930	$55,447	172,331	63,673
Sevier	$22,047	$41,476	$48,446	89,889	35,343
Tipton	$21,585	$49,378	$57,623	61,081	21,617
Bradley	$21,444	$40,032	$48,850	98,963	37,947
Dickson	$21,415	$44,554	$53,521	49,666	19,107
Obion	$21,235	$39,543	$47,837	31,807	13,077
Hamblen	$21,162	$39,807	$48,353	62,544	24,560
Smith	$21,026	$43,200	$50,631	19,166	7,410
Humphreys	$20,874	$41,486	$49,041	18,538	7,454
Franklin	$20,817	$40,983	$49,597	41,052	16,011
Marion	$20,811	$38,785	$46,670	28,237	11,403
Coffee	$20,737	$40,078	$50,376	52,796	20,926
Henry	$20,687	$36,836	$48,204	32,330	13,604
Stewart	$20,670	$40,214	$47,517	13,324	5,386
Cumberland	$20,544	$36,813	$42,884	56,053	23,791
Unicoi	$20,540	$34,387	$47,145	18,313	7,726
Marshall	$20,157	$40,435	$49,185	30,617	11,850
Gibson	$20,065	$35,947	$47,843	49,683	19,690
Trousdale	$19,996	$44,205	$52,430	7,870	2,976
Henderson	$19,988	$38,887	$45,557	27,769	11,224
McMinn	$19,796	$37,146	$47,726	52,266	20,865
Giles	$19,778	$37,860	$45,642	29,485	11,875
Decatur	$19,757	$30,445	$41,948	11,757	4,927
Crockett	$19,742	$36,556	$45,294	14,586	5,709
Carroll	$19,712	$36,160	$46,211	28,522	11,507
Jefferson	$19,680	$38,239	$48,690	51,407	19,864
Hawkins	$19,600	$35,392	$42,478	56,833	23,343
Putnam	$19,434	$35,185	$46,655	72,321	28,930
Pickett	$19,327	$30,193	$41,281	5,077	2,177
Dyer	$19,169	$36,856	$44,254	38,335	15,183
Benton	$19,114	$33,953	$40,819	16,489	7,063
Weakley	$18,895	$32,358	$44,134	35,021	13,898
Greene	$18,782	$36,867	$43,644	68,831	28,018
Meigs	$18,768	$33,506	$39,767	11,753	4,686
Monroe	$18,651	$36,209	$44,984	44,519	17,711
Warren	$18,508	$34,946	$43,337	39,839	15,850
McNairy	$18,488	$34,777	$41,219	26,075	10,326
Bedford	$18,471	$38,550	$46,417	45,058	16,530
Hickman	$18,447	$42,075	$49,770	24,690	8,976
Clay	$18,367	$32,106	$42,821	7,861	3,358
Hardin	$18,122	$30,732	$37,867	26,026	10,643
Sequatchie	$18,094	$33,850	$41,808	14,112	5,519
Lawrence	$18,086	$34,985	$43,356	41,869	16,275
Cannon	$18,076	$38,733	$45,354	13,801	5,472
DeKalb	$17,976	$34,863	$44,558	18,723	7,420
Morgan	$17,883	$36,772	$45,956	21,987	7,692
White	$17,880	$33,865	$40,369	25,841	10,272
Houston	$17,791	$33,738	$42,098	8,426	3,349
Overton	$17,720	$34,347	$42,007	22,083	8,820
Rhea	$17,655	$36,761	$42,682	31,809	12,276
Carter	$17,601	$31,173	$39,631	57,424	24,197
Polk	$17,481	$34,027	$44,824	16,825	6,653
Lewis	$17,473	$35,000	$47,511	12,161	4,781
Jackson	$17,452	$32,722	$40,053	11,638	4,789
Chester	$17,343	$39,915	$47,798	17,131	6,208
Fentress	$17,291	$29,642	$37,689	17,959	7,250
Van Buren	$17,160	$29,087	$32,394	5,548	2,246
Claiborne	$17,128	$31,353	$40,962	32,213	12,853
Haywood	$17,047	$32,414	$40,344	18,787	7,459
Perry	$17,028	$31,776	$37,592	7,915	3,160
Cocke	$16,957	$28,809	$37,229	35,662	14,788
Grainger	$16,783	$30,623	$38,703	22,657	9,029
Johnson	$16,638	$29,949	$34,756	18,244	7,195
Macon	$16,518	$33,087	$39,648	22,248	8,561
Campbell	$16,426	$30,686	$37,013	40,716	16,354
Union	$16,155	$30,143	$38,919	19,109	7,391
Lauderdale	$16,006	$32,894	$37,554	27,815	9,795
Hardeman	$15,838	$32,539	$43,057	27,253	9,301
Wayne	$15,814	$34,993	$45,098	17,021	6,136
Scott	$15,087	$28,728	$39,988	22,228	8,671
Grundy	$14,000	$26,529	$33,151	13,703	5,405
Hancock	$13,717	$23,125	$31,495	6,819	2,825
Bledsoe	$12,907	$29,729	$36,077	12,876	4,697
Lake	$11,813	$24,700	$36,479	7,832	2,270
