Team #1	Agg.	Team #2	1st leg	2nd leg
Íþróttafélag Reykjavíkur	134–64	Celtic Belfast	71–17	63–47
London University	106–165	ASVEL Villeurbanne	66–74	40–91
Alemannia Aachen	117–153	Budapest Honvéd	51–70	66–83
Asfa Rabat	134–211	Ignis Varèse	76–99	58–112
Etzella Ettelbruck	104–179	Antwerp BC	52–80	52–99
Maccabi Tel Aviv	127–131	AEK Athens	74–67	53–64
Alvik Stockholm	155–149	Wolves Amsterdam	82–84	73–65
Handelsministerium Vienna	135 – 135*	Chemie Halle	76–63	59–72
Galatasaray	126–161	Lokomotiv Sofia	53–70	73–91
Kisa-Toverit Helsinki	205–115	Gladsaxe Copenhagen	127–53	78–62
