Place	Player	Country	Score	To par	Money ( $ )
1	Cary Middlecoff	United States	71-70-70-70=281	+1	6,000
T2	Julius Boros	United States	71-71-71-69=282	+2	2,650
T2	Ben Hogan	United States	72-68-72-70=282	+2	2,650
T4	Ed Furgol	United States	71-70-73-71=285	+5	1,033
T4	Ted Kroll	United States	72-70-70-73=285	+5	1,033
T4	Peter Thomson	Australia	70-69-75-71=285	+5	1,033
7	Arnold Palmer	United States	72-70-72-73=287	+7	600
8	Ken Venturi (a)	United States	77-71-68-73=289	+9	0
T9	Jerry Barber	United States	72-69-74-75=290	+10	416
T9	Wes Ellis	United States	71-70-71-78=290	+10	416
T9	Doug Ford	United States	71-75-70-74=290	+10	416
