Week	Date	Opponent	Result	Attendance
1	September 3, 1995	at Oakland Raiders	L 17–7	50,323
2	September 10, 1995	Seattle Seahawks	W 14–10	54,420
3	September 17, 1995	at Philadelphia Eagles	W 27–21	63,081
4	September 24, 1995	Denver Broncos	W 17–6	58,987
5	October 1, 1995	at Pittsburgh Steelers	L 31–16	57,012
6	October 9, 1995	at Kansas City Chiefs	L 29–23	79,288
7	October 15, 1995	Dallas Cowboys	L 23–9	62,664
8	October 22, 1995	at Seattle Seahawks	W 35–25	45,821
9	Bye	Bye	Bye	Bye
10	November 5, 1995	Miami Dolphins	L 24–14	61,996
11	November 12, 1995	Kansas City Chiefs	L 22–7	59,285
12	November 19, 1995	at Denver Broncos	L 30–27	74,681
13	November 27, 1995	Oakland Raiders	W 12–6	60,607
14	December 3, 1995	Cleveland Browns	W 31–13	56,358
15	December 9, 1995	Arizona Cardinals	W 28–25	55,258
16	December 17, 1995	at Indianapolis Colts	W 27–24	55,318
17	December 23, 1995	at New York Giants	W 27–17	50,243
