Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Rangers	2 - 1	Greinke (3-1)	14,563	12-16
May 2	@ Indians	Postponed (rain) Rescheduled for September 13	Postponed (rain) Rescheduled for September 13	Postponed (rain) Rescheduled for September 13	Postponed (rain) Rescheduled for September 13
May 3	@ Indians	4 - 2	Sabathia (1-5)	27,272	13-16
May 4	@ Indians	2 - 0	Laffey (0-2)	27,836	14-16
May 5	Angels	4 - 0	R. Ramírez (0-1)	12,157	14-17
May 6	Angels	5 - 3	Bannister (3-4)	11,354	14-18
May 7	Angels	9 - 4	Weaver (2-5)	11,084	15-18
May 8	Orioles	4 - 1	Hochevar (2-2)	11,781	15-19
May 9	Orioles	7 - 4	Meche (2-4)	21,873	15-20
May 10	Orioles	6 - 5	Tomko (1-4)	15,808	15-21
May 11	Orioles	4 - 0	Burres (3-4)	18,635	16-21
May 13	Tigers	3 - 2	Cruceta (0-1)	11,703	17-21
May 14	Tigers	2 - 0	Verlander (1-7)	14,053	18-21
May 15	Tigers	8 - 4	Rogers (3-4)	34,734	19-21
May 16	@ Marlins	7 - 6	Miller (3-3)	14,825	20-21
May 17	@ Marlins	7 - 3	Bannister (4-5)	16,214	20-22
May 18	@ Marlins	9 - 3	Badenhop (1-3)	10,617	21-22
May 19	@ Red Sox	7 - 0	Hochevar (3-3)	37,746	21-23
May 20	@ Red Sox	2 - 1	Meche (3-6)	37,486	21-24
May 21	@ Red Sox	6 - 3	Tomko (2-5)	37,674	21-25
May 22	@ Red Sox	11 – 8	Bannister (4–6)	37,613	21-26
May 23	@ Blue Jays	7 - 1	Greinke (5-2)	24,207	21-27
May 24	@ Blue Jays	6 - 0	Hochevar (3-4)	28,162	21-28
May 25	@ Blue Jays	3 - 1	Meche (3-7)	29,315	21-29
May 26	@ Blue Jays	7 - 2	Tomko (2-6)	23,157	21-30
May 27	Twins	4 - 3 (12)	Núñez (3-1)	17,191	21-31
May 28	Twins	9 - 8 (10)	Peralta (0-2)	13,621	21-32
May 29	Twins	5 - 1	Hochevar (3-5)	12,336	21-33
May 30	Indians	5 - 4	Tomko (2-7)	25,243	21-34
May 31	Indians	4 - 2	Sabathia (3-7)	23,923	22-34
