Region	Date	Label	Format	Catalog
Netherlands	2001	Magik Muzik	vinyl , 12"	BHMM 804-4
Netherlands	March 29, 2002	Magik Muzik	CD , Maxi	Magik Muzik 804-2
Netherlands	March 13, 2002	Magik Muzik	CD , Single	Magik Muzik 804-1
Netherlands	2002	Magik Muzik	2 x vinyl , 12"	Magik Muzik 804-5
Netherlands	April 2, 2002	Sublogic Corporation	File , MP3	SCA0079
Netherlands	December 11, 2006	Magik Muzik	vinyl , 12" , Picture Disc, Limited Edition	Magik Muzik 835-6
Germany	December 11, 2006	Kontor Records	vinyl , 12" , Picture Disc, Limited Edition	Kontor579
Germany	July 22, 2002	Jive	CD , Maxi	RTD 103.4037.3
Germany	May 29, 2002	Dos Or Die Recordings	vinyl , 12"	DOS 214
Germany	May 29, 2002	Dos Or Die Recordings	vinyl , 12"	DOS 219
France	January, 2005	Independence Records	vinyl , 12" , Picture Disc	IR 0436 V
France	January, 2005	Universal Licensing Music (ULM)	vinyl , 12" , Picture Disc	982 695-9
United Kingdom	1999	VC Recordings	Acetate , 12" , Single Sided, Limited Edition	none, first release limited to 3 copies
United Kingdom	April 1, 2002	VC Recordings	CD , Maxi	VCRD 103
United Kingdom	April 1, 2002	VC Recordings	vinyl , 12"	VCRD 103
United Kingdom	March 25, 2002	VC Recordings	vinyl , 12"	VCRTDJ 103
United Kingdom	2001	VC Recordings	CD , Single , Promo	VCRDDJ 103
United Kingdom	2004	Nebula Classics	vinyl , 12"	NEB024
Spain	2002	Electropolis	vinyl , 12"	VLMX 1087-3
Spain	2003	Electropolis	vinyl , 12"	VLMX 1278-3
