Average population (x 1,000)	Live births	Deaths	Natural change	Crude birth rate (per 1,000)	Crude death rate (per 1,000)	Natural change (per 1,000)
2,470	105,000	58,000	47,000	42.4	23.5	18.9
2,520	96,000	53,000	43,000	38.0	21.0	17.0
2,570	98,000	57,000	41,000	38.0	22.3	15.7
2,580	106,000	60,000	46,000	40.9	23.5	17.4
2,650	106,000	56,000	50,000	39.8	21.1	18.7
2,660	100,000	65,000	35,000	37.3	24.8	2.5
2,690	113,000	66,000	47,000	42.0	24.5	17.5
2,770	111,000	62,000	49,000	40.0	22.4	17.6
2,820	104,000	67,000	37,000	36.8	23.7	13.1
2,840	110,000	83,000	27,000	38.7	29.3	9.4
2,870	112,000	64,000	48,000	39.0	22.4	16.6
2,940	107,000	64,000	43,000	36.3	21.8	14.5
2,980	114,000	63,000	51,000	38.3	21.1	17.1
