Date	Opponent	Score	Loss	Save
May 1	@ Giants	4 - 3 12	LaCoss (1-2)	Schiraldi (2)
May 2	@ Giants	4 - 0	Maddux (1-4)	Gossage (1)
May 3	@ Padres	5 - 4	Grant (0-1)	Williams (8)
May 4	@ Padres	4 - 0	Terrell (3-3)	|| 25,892 ||15-12||
May 5	@ Dodgers	4 - 2	Belcher (2-3)	Williams (9)
May 6	@ Dodgers	3 - 0	Sutcliffe (4-2)	Howell (3)
May 7	@ Dodgers	4 - 2	Hershiser (4-3)	Williams (10)
May 9	Giants	4 - 2	Kilgus (3-3)	Lefferts (5)
May 10	Giants	4 - 3	Williams (0-2)	Lefferts (6)
May 12	Astros	3 - 1	Sutcliffe (4-3)	|| 21,141 ||17-16||
May 13	Astros	1 - 0	Maddux (1-5)	Smith (6)
May 14	Astros	5 - 1	Kilgus (3-4)	|| 23,391 ||17-18||
May 15	Braves	4 - 0	Lilliquist (2-3)	|| 16,920 ||18-18||
May 16	Braves	4 - 3	Glavine (5-1)	Williams (11)
May 17	Braves	4 - 0	Z. Smith (1-6)	|| 31,196 ||20-18||
May 19	@ Reds	8 - 2	Jackson (2-7)	|| 29,202 ||21-18||
May 20	@ Reds	7 - 3	Browning (3-4)	Perry (1)
May 21	@ Reds	7 - 2	Bielecki (3-2)	|| 34,128 ||22-19||
May 22	@ Astros	5 - 3	Deshaies (5-3)	Schiraldi (3)
May 23	@ Astros	5 - 4	Scott (6-3)	Schiraldi (4)
May 24	@ Astros	3 - 1	Knepper (2-6)	Williams (12)
May 26	Reds	10 - 8 12	Schiraldi (1-2)	|| 33,583 ||25-20||
May 27	Reds	5 - 3	Rijo (4-1)	|| 34,546 ||26-20||
May 28	Reds	6 - 1	Jackson (3-8)	|| 37,231 ||27-20||
May 29	@ Braves	2 - 1	Sanderson (5-3)	Boever (7)
May 30	@ Braves	3 - 2	P. Smith (1-7)	Williams (13)
May 31	@ Braves	3 - 2	Kilgus (4-5)	Boever (8)
