Player	Nationality	Jersey Number(s)	Position	Years	From
Bob Kauffman Category:Articles with hCards	United States	22	PF / C	1968–1969	Guilford
Greg Kelser Category:Articles with hCards	United States	3	SF	1982 – 1982	Michigan State
Shawn Kemp Category:Articles with hCards	United States	40	PF	1990 – 1997	Trinity Valley Community College
Joe Kennedy Category:Articles with hCards	United States	34	SF	1969 – 1970	Duke
Jerome Kersey Category:Articles with hCards	United States	7	SF	1997–1998	Longwood
Chris King Category:Articles with hCards	United States	35	PF / SF	1997–1998	Wake Forest
Reggie King Category:Articles with hCards	United States	51	PF / SF	1983 – 1985	Alabama
Rich King Category:Articles with hCards	United States	25, 45	C	1991 – 1995	Nebraska
Curtis Kitchen Category:Articles with hCards	United States	42	PF	1986	South Florida
Bart Kofoed Category:Articles with hCards	United States	23	PG	1991–1992	Nebraska–Kearney
Don Kojis Category:Articles with hCards	United States	44, 22	SF	1970 – 1972	Marquette
Tommy Kron Category:Articles with hCards	United States	11	SG	1967 – 1969	Kentucky
İbrahim Kutluay Category:Articles with hCards	Turkey	11	SG	2004–2005	Ülkerspor
