Year	Song Title	Film	Co - Singer	Music - Director
2010	"Amma Thale"	Puli (soundtrack)	Naresh Iyer	A. R. Rahman
2010	"Piliche"	Khaleja	Hemachandra	Mani Sharma
2010	"Boom Boom Robo Ra"	Enthiran	Tanvi Shah	A. R. Rahman
2011	"Nee Maatalo"	180 (2011 Indian film)	Karthik	Sharreth
2012	"Dil Se"	Gabbar Singh (film)	Hemachandra	Devi Sri Prasad
2012	""Aagipo"	Ko Antey Koti	Karthik , Chinnaponnu	Shakti Kanth
2012	"Kaatuka Kallu"	Sarocharu	Khushi Murali	Devi Sri Prasad
2013	""Hey Po" "	Okkadine	Solo	Karthik
2013	"Neetho Edo"	Paisa (film)	Solo	Sai Karthik
2013	"Nemmadiga"	Bhai (2013 film)	Venu Srirangam	Devi Sri Prasad
