Year	Class	Team	Points	Wins
1973	500cc	Yamaha	3	0
1975	250cc	Yamaha	1	0
1975	350cc	Yamaha	5	0
1975	500cc	Yamaha	1	0
1976	250cc	Yamaha	8	0
1976	350cc	Yamaha	10	0
1977	250cc	Kawasaki	4	0
1978	250cc	Kawasaki	19	0
1979	250cc	Kawasaki	29	0
1980	250cc	Kawasaki	59	0
1980	350cc	Kawasaki	38	0
1981	250cc	Kawasaki	95	1
1981	350cc	Kawasaki	49	0
1982	250cc	Kawasaki	22	0
1982	350cc	Kawasaki	59	3
1983	250cc	Chevallier -Yamaha	32	1
1984	250cc	Pernod- Yamaha	25	0
1985	250cc	Pernod- Yamaha	8	0
1986	250cc	Rothmans- Honda	63	0
1987	250cc	Defi- Yamaha	6	0
1988	250cc	Defi- Rotax	10	0
1989	250cc	Motul Forza Shoei Yamaha	0	0
