Model number	sSpec number	Cores	Frequency	Turbo	L2 cache	L3 cache	GPU model	GPU frequency	Socket	I/O bus	Release date	Part number(s)	Release price ( USD )
Core i7-4700HQ	SR15E(C0)	4	2.4 GHz	8/9/9/10	4 × 256 KB	6 MB	HD Graphics 4600	400–1200 MHz	BGA-1364	DMI 2.0	June 2013	CL8064701470302	$383
Core i7-4702HQ	SR15F(C0)	4	2.2 GHz	7/7/9/10	4 × 256 KB	6 MB	HD Graphics 4600	400–1150 MHz	BGA-1364	DMI 2.0	June 2013	CL8064701470403	$383
Core i7-4750HQ	SR18J(C0)	4	2 GHz	10/10/11/12	4 × 256 KB	6 MB	Iris Pro Graphics 5200	200–1200 MHz	BGA-1364	DMI 2.0	June 2013	CL8064701510101	$440
Core i7-4850HQ	SR18H(C0)	4	2.3 GHz	10/10/11/12	4 × 256 KB	6 MB	Iris Pro Graphics 5200	200–1200 MHz	BGA-1364	DMI 2.0	June 2013	CL8064701509800	$468
Core i7-4950HQ	SR18G(C0)	4	2.4 GHz	10/10/11/12	4 × 256 KB	6 MB	Iris Pro Graphics 5200	200–1300 MHz	BGA-1364	DMI 2.0	June 2013	CL8064701509700	$657
Core i7-4960HQ	SR1BS(C0)	4	2.6 GHz	10/10/11/12	4 × 256 KB	6 MB	Iris Pro Graphics 5200	200–1300 MHz	BGA-1364	DMI 2.0	September 2013	CL8064701511001	$657
embedded	embedded	embedded	embedded	embedded	embedded	embedded	embedded	embedded	embedded	embedded	embedded	embedded	embedded
Core i7-4700EQ	SR17L(C0)	4	2.4 GHz	8/8/9/10	4 × 256 KB	6 MB	HD Graphics 4600	400–1000 MHz	BGA-1364	DMI 2.0	June 2013	CL8064701483802	$378
Core i7-4850EQ	SR17X(C0)	4	1.6 GHz	?/?/?/16	4 × 256 KB	6 MB	Iris Pro Graphics 5200	650–1000 MHz	BGA-1364	DMI 2.0	August 2013	CL8064701528402	$466
Core i7-4860EQ	SR195(C0)	4	1.8 GHz	?/?/?/14	4 × 256 KB	6 MB	Iris Pro Graphics 5200	750–1000 MHz	BGA-1364	DMI 2.0	August 2013	CL8064701528404	$508
