No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
47	1	"Fun with Dick and Janet (Part 1)" (Part 3)	Terry Hughes	Bob Kushell & Mark Brazill	September24,1997	301
48	2	"Fun with Dick and Janet (Part 2)" (Part 4)	Terry Hughes	Bob Kushell & Mark Brazill	September24,1997	302
49	3	"Tricky Dick"	Terry Hughes	Bill Martin & Mike Schiff	October8,1997	305
50	4	"Dick-in-Law"	Terry Hughes	Christine Zander	October15,1997	304
51	5	"Scaredy Dick"	Terry Hughes	David Sacks	October29,1997	306
52	6	"Moby Dick"	Terry Hughes	Michael Glouberman & Andrew Orenstein	November5,1997	303
53	7	"Eleven Angry Men and One Dick"	Terry Hughes	David Goetsch & Jason Venokur	November12,1997	307
54	8	"A Friend in Dick"	Terry Hughes	Gregg Mettler	November19,1997	308
55	9	"Seven Deadly Clips"	Terry Hughes	Michael Glouberman & Andrew Orenstein	December3,1997	327
56	10	"Tom, Dick and Mary"	Terry Hughes	Bonnie Turner & Terry Turner	December3,1997	309
57	11	"Jailhouse Dick"	Terry Hughes	David M. Israel & Jim O'Doherty	December17,1997	310
58	12	"Dick on a Roll"	Terry Hughes	David Goetsch & Jason Venokur	January7,1998	311
59	13	"The Great Dickdater"	Terry Hughes	David Sacks	January21,1998	312
60	14	"36! 24! 36! Dick (Part 1)"	Terry Hughes	Bill Martin & Mike Schiff & Christine Zander	January25,1998	313
61	15	"36! 24! 36! Dick (Part 2)"	Terry Hughes	Bill Martin & Mike Schiff & Christine Zander	January25,1998	314
62	16	"Pickles and Ice Cream"	Terry Hughes	Bob Kushell	January28,1998	315
63	17	"Auto Eurodicka"	Terry Hughes	Mark Brazill	February4,1998	316
64	18	"Portrait of Tommy as an Old Man"	Terry Hughes	Bob Kushell & Gregg Mettler	February25,1998	317
65	19	"Stuck with Dick"	Terry Hughes	Jim O'Doherty & David M. Israel	March18,1998	318
66	20	"My Daddy's Little Girl"	Terry Hughes	Christine Zander & Mark Brazill	April1,1998	319
67	21	"The Physics of Being Dick"	Terry Hughes	David Schiff	April15,1998	323
68	22	"Just Your Average Dick" (Part 1)	Terry Hughes	Michael Glouberman & Andrew Orenstein	April28,1998	320
69	23	"Dick and the Other Guy" (Part 2)	Terry Hughes	Bonnie Turner & Terry Turner	April28,1998	321
70	24	"Sally and Don's First Kiss"	Terry Hughes	David Sacks	May6,1998	322
71	25	"When Aliens Camp"	Terry Hughes	David M. Israel & Jim O'Doherty	May13,1998	324
72	26	"The Tooth Harry"	Terry Hughes	Joshua Sternin & Jeffrey Ventimilia	May20,1998	325
