Name	Pos.	Height	Weight	2012 club
Iñaki Aguilar Category:Articles with hCards	GK	m ()	kg (lb)	CN Sabadell
Mario José García Category:Articles with hCards	D	m ()	kg (lb)	Real Canoe
David Martín Category:Articles with hCards	D	m ()	kg (lb)	CN Atlètic-Barceloneta
Balázs Szirányi Category:Articles with hCards	CF	m ()	kg (lb)	Real Canoe
Guillermo Molina Category:Articles with hCards	CF	m ()	kg (lb)	Pro Recco
Marc Minguell Category:Articles with hCards	CF	m ()	kg (lb)	Posillipo
Blai Mallarach Category:Articles with hCards	CF	m ()	kg (lb)	HAVK Mladost
Albert Español Category:Articles with hCards	D	m ()	kg (lb)	CN Atlètic-Barceloneta
Xavier Vallès Category:Articles with hCards	CF	m ()	kg (lb)	CN Atlètic-Barceloneta
Felipe Perrone Category:Articles with hCards	D	m ()	kg (lb)	Pro Recco
Iván Pérez Category:Articles with hCards	CF	m ()	kg (lb)	CN Sabadell
Xavier García Category:Articles with hCards	CF	m ()	kg (lb)	VK Primorje Rijeka
Daniel López Category:Articles with hCards	GK	m ()	kg (lb)	CN Atlètic-Barceloneta
