Stadium	Capacity	City	State/Province	Closed
John F. Kennedy Stadium	100,000	Philadelphia	Pennsylvania	1992
Cleveland Stadium	81,000	Cleveland	Ohio	1996
Tulane Stadium	80,985	New Orleans	Louisiana	1980
Giants Stadium	80,242	East Rutherford	New Jersey	2010
Mile High Stadium	76,273	Denver	Colorado	2002
Miami Orange Bowl	74,476	Miami	Florida	2008
Tampa Stadium	74,301	Tampa	Florida	1999
Gator Bowl Stadium	73,227	Jacksonville	Florida	1994
Kingdome	66,000	Seattle	Washington	2000
Texas Stadium	65,675	Irving	Texas	2008
Veterans Stadium	65,386	Philadelphia	Pennsylvania	2004
Anaheim Stadium	64,593	Anaheim	California	1994
Reliant Astrodome	62,439	Houston	Texas	2004
Atlanta–Fulton County Stadium	60,606	Atlanta	Georgia	1997
Foxboro Stadium	60,292	Foxboro	Massachusetts	2002
Pitt Stadium	60,190	Pittsburgh	Pennsylvania	1999
Riverfront Stadium	59,754	Cincinnati	Ohio	2002
Kezar Stadium	59,636	San Francisco	California	1971
Three Rivers Stadium	59,000	Pittsburgh	Pennsylvania	2001
RCA Dome	57,580	Indianapolis	Indiana	2008
Shea Stadium	57,333	Queens	New York	2008
Yankee Stadium	56,936	Bronx	New York	2008
Memorial Stadium	56,652	Minneapolis	Minnesota	1982
Polo Grounds	55,000	New York	New York	1964
Memorial Stadium	53,371	Baltimore	Maryland	2001
County Stadium	53,192	Milwaukee	Wisconsin	2001
Tiger Stadium	52,416	Detroit	Michigan	2006
Stagg Field	50,000	Chicago	Illinois	1957
Busch Memorial Stadium	49,676	St. Louis	Missouri	2005
Metropolitan Stadium	48,446	Bloomington	Minnesota	1985
Cardinal Stadium	47,925	Louisville	Kentucky	1998
War Memorial Stadium	46,500	Buffalo	New York	1973
Comiskey Park	43,951	Chicago	Illinois	1990
Palmer Stadium	42,000	Princeton	New Jersey	1997
Braves Field	40,000	Boston	Massachusetts	1955
Mountaineer Field	38,000	Morgantown	West Virginia	1987
Stoll Field/McLean Stadium	37,000	Lexington	Kentucky	1972
Municipal Stadium	35,561	Kansas City	Missouri	1976
Forbes Field	35,000	Pittsburgh	Pennsylvania	1970
Clyde Williams Stadium	35,000	Ames	Iowa	1975
Balboa Stadium	34,000	San Diego	California	1966
Shibe Park	33,608	Philadelphia	Pennsylvania	1970
Ebbets Field	32,000	Brooklyn	New York	1960
Robertson Stadium	32,000	Houston	Texas	2012
Rutgers Stadium	31,219	Piscataway	New Jersey	1993
Sportsman's Park	30,500	St. Louis	Missouri	1965
Cartier Field	30,000	Notre Dame	Indiana	1930
DU Stadium	30,000	Denver	Colorado	1960
Fouts Field	30,000	Denton	Texas	2010
New Beaver Field	30,000	State College	Pennsylvania	1960
Old City Stadium	25,000	Green Bay	Wisconsin	1957
