Date	Series	Circuit	City / State	Winner	Team
5 - 7 Mar	Hot Wheels V8 Supercar Showdown	Albert Park street circuit	Melbourne , Victoria	Craig Lowndes	Holden Racing Team
28 Mar	SCS Round 1	Eastern Creek Raceway	Sydney , New South Wales	Mark Skaife	Holden Racing Team
10 - 11 Apr	Sensational Adelaide 500 SCS Round 2	Adelaide Street Circuit	Adelaide , South Australia	Craig Lowndes	Holden Racing Team
18 Apr	ASTC Round 1	Lakeside International Raceway	Brisbane , Queensland	Paul Morris	Paul Morris Motorsport
1–2 May	SCS Round 3	Barbagallo Raceway	Perth , Western Australia	Craig Lowndes	Holden Racing Team
2 May	ASTC Round 2	Oran Park Raceway	Sydney , New South Wales	Jim Richards	Volvo Cars Australia
16 May	SCS Round 4	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Mark Skaife	Holden Racing Team
30 May	ASTC Round 3	Mallala Motor Sport Park	Adelaide , South Australia	Paul Morris	Paul Morris Motorsport
6 Jun	SCS Round 5	Hidden Valley Raceway	Darwin , Northern Territory	Jason Bright	Stone Brothers Racing
20 Jun	ASTC Round 4	Winton Motor Raceway	Benalla , Victoria	Paul Morris	Paul Morris Motorsport
27 Jun	SCS Round 6	Sandown Raceway	Melbourne , Victoria	Mark Skaife	Holden Racing Team
11 Jul	SCS Round 7	Queensland Raceway	Ipswich , Queensland	Garth Tander	Garry Rogers Motorsport
18 Jul	ASTC Round 5	Oran Park Raceway	Sydney , New South Wales	Paul Morris	Paul Morris Motorsport
25 Jul	SCS Round 8	Calder Park Raceway	Melbourne , Victoria	Mark Skaife	Holden Racing Team
1 Aug	ASTC Round 6	Queensland Raceway	Ipswich , Queensland	Jim Richards	Volvo Cars Australia
8 Aug	SCS Round 9	Symmons Plains Raceway	Launceston , Tasmania	Mark Skaife	Holden Racing Team
15 Aug	ASTC Round 7	Oran Park Raceway	Sydney , New South Wales	Jim Richards	Volvo Cars Australia
22 Aug	SCS Round 10	Winton Motor Raceway	Benalla , Victoria	Jason Bargwanna	Garry Rogers Motorsport
29 Aug	ASTC Round 8	Calder Park Raceway	Melbourne , Victoria	Jim Richards	Volvo Cars Australia
5 Sep	SCS Round 11	Oran Park Raceway	Sydney , New South Wales	Mark Skaife	Holden Racing Team
19 Sep	Queensland 500 SCS Round 12	Queensland Raceway	Ipswich , Queensland	Larry Perkins Russell Ingall	Castrol Perkins Racing
3 Oct	Bob Jane T-Marts V8 300	Mount Panorama Circuit	Bathurst , New South Wales	James Brock	Biante Model Cars
3 Oct	Bob Jane T-Marts 500	Mount Panorama Circuit	Bathurst , New South Wales	Paul Morris	Paul Morris Motorsport
17 - 18 Oct	V8 Supercar Challenge	Surfers Paradise street circuit	Surfers Paradise , Queensland	Paul Radisich	Dick Johnson Racing
14 Nov	FAI 1000 Classic SCS Round 13	Mount Panorama Circuit	Bathurst , New South Wales	Steven Richards Greg Murphy	Gibson Motor Sport
