Year	Entrant	Chassis	Engine	Points
1952	Equipe Gordini	Gordini Type 16	Gordini Straight-6	6
1953	Equipe Gordini	Gordini Type 16	Gordini Straight-6	0
1954	Equipe Gordini	Gordini Type 16	Gordini Straight-6	1⁄7
1955	Officine Alfieri Maserati	Maserati 250F	Maserati Straight-6	6
1956	Officine Alfieri Maserati	Maserati 250F	Maserati Straight-6	22
1957	Officine Alfieri Maserati	Maserati 250F	Maserati Straight-6	6
1957	Officine Alfieri Maserati	Maserati 250F	Maserati V12	6
1958	Ken Kavanagh	Maserati 250F	Maserati Straight-6	9
1958	Owen Racing Organisation	BRM P25	BRM Straight-4	9
1959	Scuderia Ferrari	Ferrari Dino 246	Ferrari V6	2
1959	Jean Behra	Behra-Porsche RSK	Porsche Flat-4	2
