Name	Circuit	Date	Winning driver	Winning constructor	Report
Pau Grand Prix	Pau	2 April	Hermann Lang	Mercedes-Benz	Report
Road Championship	Brooklands	10 April	Arthur Dobson	ERA	Report
Paris Cup	Montlhéry	7 May	Jean-Pierre Wimille	Bugatti	Report
Finnish Grand Prix	Eläintarharata	7 May	Adolf Westerblom	Alfa Romeo	Report
Eifelrennen	Nürburgring	21 May	Hermann Lang	Mercedes-Benz	Report
Grand Prix des Frontières	Chimay	28 May	Maurice Trintignant	Bugatti	Report
Bucharest Grand Prix	Bucharest	25 June	Hans Stuck	Auto Union	Report
Remparts Grand Prix	Angoulême	30 July	Raymond Sommer	Alfa Romeo	Report
Campbell Trophy	Brooklands	7 August	Raymond Mays	ERA	Report
Belgrade Grand Prix	Belgrade	3 September	Tazio Nuvolari	Auto Union	Report
Gávea Nacional Circuit	Gávea	29 October	Manuel de Teffé	Maserati	Report
