Name	Home or representative town or province	Age	Season	Total days in PBB House	Duration	Status
Rico Barrera	Olongapo City	23	Season 1	21	Days 1-21	Evicted
JB Magsaysay	La Union	25	Season 1	35	Days 1-35	Evicted
Racquel Reyes	Tanauan City	31	Season 1	49	Days 1-49	Evicted
Bob dela Cruz	Marilao, Bulacan	28	Season 1	50	Days 1-50	Forcibly evicted due to health reasons
Chx Alcala	Caloocan City	24	Season 1	63	Days 1-63	Evicted
Sam Milby	Surigao del Sur	21	Season 1	50	Days 28-77	Evicted
Jenny Suico	Olongapo City	29	Season 1	57	Days 1-28, 56-84	Voluntarily exited; returned but later evicted
Franzen Fajardo	Sampaloc, Manila	23	Season 1	91	Days 1-91	Forcibly evicted as punishment
Say Alonzo	San Juan, Metro Manila	22	Season 1	105	Days 1-105	Evicted
Uma Khouny	San Juan, Metro Manila	23	Season 1	112	Days 1-112	4th place
Cassandra Ponti	Davao City	25	Season 1	112	Days 1-112	3rd place
Jason Gainza	Batangas City	25	Season 1	112	Days 1-112	2nd place
Nene Tamayo	Romblon	23	Season 1	112	Days 1-112	Winner
Mikah Dizon	Baguio City	20	Season 2	7	Days 14-21	Evicted
Jeremy Legazpi	Japan	20	Season 2	7	Days 14-21	Evicted
Jasmin Engracia	Davao City	22	Season 2	29	Days 10-29, 78-86	Evicted
Ezekiel Dimaguila	Australia	21	Season 2	43	Days 1-35, 78-85	Evicted
Maricris Dizon	Italy	27	Season 2	52	Days 14-65	Forcibly evicted as punishment
Geraldine Javier	Quezon City	32	Season 2	7	Days 70-77	Evicted
Dionne Monsanto	Cebu City	21	Season 2	66	Days 12-77	Evicted
Yen Galagnara	Quezon City	35	Season 2	22	Days 70-91	Evicted
Kian Kazemi	Makati City	21	Season 2	62	Days 9-49, 78-98	Evicted; returned but later re-evicted
Saicy Aguila	Bacolod City	23	Season 2	105	Days 1-105	Evicted
Robert Woods	Birmingham , UK	24	Season 2	106	Days 7-112	Evicted
Nel Rapiz	Iloilo City	25	Season 2	119	Days 1-119	Evicted
Bruce Quebral	Cainta, Rizal	25	Season 2	112	Days 11-122	Evicted
Bodie Cruz	Las Piñas City	21	Season 2	105	Days 14-124	Evicted
Gee-Ann Abrahan	Quezon City	21	Season 2	126	Days 1-126	4th place
Wendy Valdez	Navotas City	25	Season 2	119	Days 1-70, 78-126	3rd place; evicted initially
Mickey Perz	Switzerland	23	Season 2	126	Days 1-126	2nd place
Beatriz Saw	Baao, Camarines Sur	21	Season 2	119	Days 8-126	Winner
JP Lagumbay*	Quezon City	29	Double Up	3	Days 1-3	Left due to work-related reasons
Kenny Santos*	Rizal	20	Double Up	5	Days 1-5	Forcibly evicted for failure of task
Toffi Santos*	Rizal	20	Double Up	5	Days 1-5	Forcibly evicted for failure of task
