Date	Site	Sport	Winning team	Series
September 12, 2008	Ames	Volleyball	Iowa State	Iowa State 2–0
September 13, 2008	Iowa City	Football	Iowa	Iowa 3–2
September 21, 2008	Ames	W Soccer	Iowa	Iowa 5–2
November 15, 2008	Stillwater	M Cross Country	Iowa State	Iowa 5–4
November 15, 2008	Stillwater	W Cross Country	Iowa	Iowa 7–4
December 6, 2008	Iowa City	Wrestling	Iowa	Iowa 9–4
December 7, 2008	Iowa City	W Basketball	Iowa	Iowa 11–4
December 12, 2008	Iowa City	M Basketball	Iowa	Iowa 13–4
December 12, 2008	Iowa City	W Swimming	Iowa	Iowa 15–4
February 12, 2009	Ames	W Gymnastics	Iowa	Iowa 17–4
February 14, 2009	Iowa City	W Gymnastics	Iowa	Iowa 19–4
April 7, 2009	Iowa City	Softball	Iowa	Iowa 21–4
