Year	Division	League	Regular Season	Playoffs	Open Canada Cup
2000	4	USL PDL	6th, Heartland	Did not qualify	Did not participate
2001	4	USL PDL	4th, Heartland	Did not qualify	Did not participate
2002	4	USL PDL	6th, Heartland	Did not qualify	Did not participate
2003	4	USL PDL	4th, Heartland	Did not qualify	Did not participate
2004	4	USL PDL	4th, Heartland	Did not qualify	Did not participate
2005	4	USL PDL	4th, Heartland	Did not qualify	Did not participate
2006	4	USL PDL	7th, Heartland	Did not qualify	Did not participate
2007	4	USL PDL	1st, Heartland	Conference Semi-Finals	Did not participate
2008	4	USL PDL	1st, Heartland	Champions	N/A
2009	4	USL PDL	2nd, Heartland	Divisional Semi-Finals	N/A
2010	4	USL PDL	1st, Heartland	National Final	N/A
2011	4	USL PDL	1st, Heartland	National Semi-Finals	N/A
2012	4	USL PDL	1st, Heartland	Conference Semi-Finals	N/A
2013	4	USL PDL	1st, Heartland	National Final	N/A
