Tie no	Home team	Score	Away team	Attendance
1	Liverpool	1–1	Wimbledon	25,124
Replay	Wimbledon	0–2	Liverpool	12,553
2	Watford	0–0	Crystal Palace	18 February 1995
Replay	Crystal Palace	1–0	Watford	1 March 1995
3	Wolverhampton Wanderers	1–0	Leicester City	18 February 1995
4	Everton	5–0	Norwich City	18 February 1995
5	Newcastle United	3–1	Manchester City	19 February 1995
6	Tottenham Hotspur	1–1	Southampton	18 February 1995
Replay	Southampton	2–6	Tottenham Hotspur	1 March 1995
7	Queens Park Rangers	1–0	Millwall	18 February 1995
8	Manchester United	3–1	Leeds United	19 February 1995
