Date	Tournament	Winning score	Margin of victory	Runner(s)-up
May 21, 1967	Colonial National Invitation	–2 (65-66-74-73=278)	2 strokes	Charles Coody
Jun 30, 1968	Cleveland Open Invitational	–8 (69-68-67-72=276)	2 strokes	Bob Dickson
Jul 14, 1968	Greater Milwaukee Open	–13 (68-67-71-69=275)	4 strokes	Sam Snead
Aug 16, 1970	PGA Championship	–1 (70-70-66-73=279)	2 strokes	Bob Murphy , Arnold Palmer
Aug 15, 1971	Massachusetts Classic	–13 (71-69-69-66=275)	1 stroke	Raymond Floyd
Jul 8, 1973	Greater Milwaukee Open	–12 (69-63-71-73=276)	1 stroke	Homero Blancas , Hubert Green
Feb 17, 1974	Glen Campbell-Los Angeles Open	–8 (68-68-71-69=276)	2 strokes	John Mahaffey , Sam Snead
Jul 14, 1974	Quad Cities Open	–13 (68-68-71-64=271)	1 stroke	Bruce Fleisher
Aug 18, 1974	Sammy Davis Jr.-Greater Hartford Open	–12 (65-65-69-69=268)	4 strokes	Raymond Floyd
Aug 15, 1976	PGA Championship	+1 (70-72-69-70=281)	1 stroke	Raymond Floyd , Don January
