Week	Date	Opponent	Result	Attendance
1	September 24, 1955	at Philadelphia Eagles	L 27–17	29,597
2	October 2, 1955	at Chicago Cardinals	L 28–17	9,555
3	October 9, 1955	at Pittsburgh Steelers	L 30–23	29,422
4	October 16, 1955	Chicago Cardinals	W 10–0	7,000
5	October 23, 1955	Pittsburgh Steelers	L 19–17	27,365
6	October 30, 1955	Washington Redskins	W 35–7	17,402
7	November 6, 1955	at Cleveland Browns	L 24–14	46,524
8	November 13, 1955	Baltimore Colts	W 17–7	33,982
9	November 20, 1955	Philadelphia Eagles	W 31–7	22,075
10	November 27, 1955	Cleveland Browns	T 35–35	45,699
11	December 4, 1955	at Washington Redskins	W 27–20	28,556
12	December 11, 1955	at Detroit Lions	W 24–19	45,929
