Game	Date	Opponent	Score	Location	Record
45	Tue. Feb. 3	@ Atlanta Hawks	123-126 (OT)	The Omni	33-12
46	Wed. Feb. 4	Cleveland Cavaliers	104-102	Boston Garden	34-12
47	Tue. Feb. 10	@ Denver Nuggets	119-105	McNichols Sports Arena	35-12
48	Thu. Feb. 12	@ Golden State Warriors	134-112	Oakland Coliseum	36-12
49	Fri. Feb. 13	@ Portland Trail Blazers	131-116	Memorial Coliseum	37-12
50	Sun. Feb. 15	@ Los Angeles Lakers	103-106	The Forum	37-13
51	Mon. Feb. 16	@ Utah Jazz	89-109	Salt Palace	37-14
52	Wed. Feb. 18	@ Dallas Mavericks	113-96	Reunion Arena	38-14
53	Thu. Feb. 19	@ Houston Rockets	99-92	The Summit	39-14
54	Sat. Feb. 21	@ San Antonio Spurs	121-113	HemisFair Arena	40-14
55	Mon. Feb. 23	New Jersey Nets	116-103	Hartford Civic Center	41-14
56	Wed. Feb. 25	Portland Trail Blazers	122-116	Boston Garden	42-14
57	Fri. Feb. 27	@ Atlanta Hawks	105-115	The Omni	42-15
