Rank	Club 1	Seasons	Spells	Played 2	Drawn	Lost	Goals	Points 3
1	Spartak Moscow	21	1	653	164	125	1242-673	1256
2	Lokomotiv Moscow	21	1	653	180	150	967-610	1149
3	CSKA Moscow	21	1	653	160	164	1034-638	1147
4	Dynamo Moscow	21	1	652	187	192	921-745	1006
5	Zenit Saint Petersburg	18	2	562	164	138	853-580	944
6	Krylya Sovetov Samara	21	1	656	178	266	713-852	814
7	Torpedo Moscow	15	1	462	131	149	597-553	677
8	FC Rostov	19	3	592	174	260	614-830	648
9	Alania Vladikavkaz	16	3	489	109	201	630-663	646
10	Rotor Volgograd	13	1	402	109	142	562-506	562
11	Rubin Kazan	10	1	314	88	83	432-298	517
12	Saturn Moscow Oblast	12	1	360	121	119	396-378	481
13	FC Moscow	9	1	270	83	95	295-311	359
14	Shinnik Yaroslavl	10	4	304	86	133	294-403	341
15	Amkar Perm	9	1	284	91	111	261-338	337
16	Chernomorets Novorossiysk	8	2	248	65	109	274-357	287
17	Lokomotiv Nizhny Novgorod	8	2	248	63	117	233-356	267
18	Anzhi Makhachkala	6	2	194	55	69	222-223	262
19	Tom Tomsk	7	1	224	65	95	219-292	257
20	Zhemchuzhina Sochi	7	1	222	57	104	263-390	240
21	Kuban Krasnodar	6	4	194	65	77	198-257	221
22	Spartak Nalchik	6	1	194	57	83	207-239	219
23	Terek Grozny	6	2	194	44	91	192-276	215 4
24	Ural Sverdlovsk Oblast	5	1	158	33	68	215-241	204
25	Energia-Tekstilshchik Kamyshin	5	1	158	43	62	172-177	202
26	KAMAZ Naberezhnye Chelny	5	1	162	32	79	198-253	179 5
27	Uralan Elista	5	2	150	39	75	138-225	147
28	Luch-Energia Vladivostok	4	2	124	32	58	116-187	134
29	Baltika Kaliningrad	3	1	98	37	31	114-111	127
30	Fakel Voronezh	4	3	124	29	64	101-175	122
31	Dynamo Stavropol	3	1	94	23	44	94-125	104
32	FC Krasnodar	2	1	74	19	27	103-100	103
33	FC Tyumen	5	3	154	26	103	116-326	101
34	Okean Nakhodka	2	1	64	14	28	65-83	80
35	FC Khimki	3	1	90	23	50	86-151	74
36	Volga Nizhny Novgorod	2	1	74	13	42	65-106	70
37	Asmaral Moscow	2	1	60	11	30	74-102	68
38	Sokol Saratov	2	1	60	13	30	55-87	64
39	Lada Togliatti	2	2	64	16	38	42-105	46
40	Mordovia Saransk	1	1	30	5	20	30-57	20
41	Sibir Novosibirsk	1	1	30	8	18	34-58	20
