Week	Date	Opponent	Result	Attendance
1	September 12, 1965	Kansas City Chiefs	W 37–10	18,569
2	September 19, 1965	San Diego Chargers	L 17–6	21,406
3	September 26, 1965	Houston Oilers	W 21–17	18,116
4	October 3, 1965	at Buffalo Bills	L 17–12	41,246
5	October 8, 1965	at Boston Patriots	W 24–10	24,824
6	October 16, 1965	at New York Jets	T 24–24	54,890
7	October 24, 1965	Boston Patriots	W 30–21	20,585
8	October 31, 1965	at Kansas City Chiefs	L 14–7	18,354
9	November 7, 1965	at Houston Oilers	W 33–21	35,729
10	November 14, 1965	Buffalo Bills	L 17–14	19,352
11	November 21, 1965	at Denver Broncos	W 28–20	30,369
12	December 5, 1965	Denver Broncos	W 24–13	19,023
13	December 12, 1965	New York Jets	W 24–14	19,013
14	December 19, 1965	at San Diego Chargers	L 24–14	26,056
