Tournament	Also currently known as	City(s)	Country	Court surface	Tier IV in	Years
Rome	Internazionali BNL d'Italia	Rome	Italy	Clay	1988	1
Zurich	Zurich Open	Zurich	Switzerland	Hard (i)	1988	1
Hamburg	Rexona Cup	Hamburg	Germany	Clay	1988–1989	2
New Jersey	United Jersey Bank Classic	Mahwah , NJ	United States	Hard	1988–1989	2
Newport	Virginia Slims of Newport	Newport , RI	United States	Clay	1988–1989	2
San Antonio	Pilot Pen Tennis	San Antonio , TX	United States	Hard	1988–1989	2
San Diego	San Diego Open	San Diego , CA	United States	Hard	1988–1989	2
Sydney	Medibank International Sydney	Sydney	Australia	Grass (1988) Hard (1989)	1988–1989	2
Tampa	Eckerd Open	Tampa , FL	United States	Clay	1988–1989	2
Puerto Rico Open	Honda Classic	San Juan (1988–1989, 1991–1993) Dorado (1990)	Puerto Rico	Hard	1988–1993	6
Kansas	Avon Championships of Kansas	Wichita , KS	United States	Hard	1990	1
