Round	Date	Matches	Clubs	New entries this round	Prize money
Preliminary Round	6 October 2007	46	258 → 212	92	£1,000
First Round Qualifying	20 October 2007	72	212 → 140	66	£1,500
Second Round Qualifying	3 November 2007	36	140 → 104	none	£2,000
Third Round Qualifying	24 November 2007	40	104 → 64	44	£3,000
First Round	15 December 2007	32	64 → 32	24	£4,000
Second Round	12 January 2008	16	32 → 16	none	£5,000
Third Round	2 February 2008	8	16 → 8	none	£6,000
Fourth Round	23 February 2008	4	8 → 4	none	£8,000
Semi-finals	8 March and 15 March 2008	2	4 → 2	none	£16,000
Final	10 May 2008	1	2 → 1	none	£50,000
