Round	Pick	Player	Position	School/Club Team
1	7	Al Carmichael	Halfback	USC
2	19	Gil Reich	Back	Army / Kansas
3	31	Bill Forester	Linebacker	SMU
4	43	Gib Dawson	Halfback	Texas
5	55	Roger Zatkoff	Linebacker	Michigan
6	67	Bob Kennedy	Guard	Wisconsin
7	79	Jim Ringo	Center	Syracuse
8	91	Lauren Hargrove	Back	Georgia
9	103	Floyd Harrawood	Tackle	Tulsa
10	115	Vic Rimkus	Guard	Holy Cross
11	127	Joe Johnson	Halfback	Boston College
12	139	Dick Curran	Back	Arizona State
13	151	Bob Orders	Center	Army/ West Virginia
14	163	Charley Wrenn	Tackle	TCU
15	175	Gene Helwig	Back	Tulsa
16	187	John Hlay	Fullback	Ohio State
17	199	Bill Georges	End	Texas
18	211	Jim Philee	Back	Bradley
19	223	Bill Lucky	Defensive Tackle	Baylor
20	235	John Harville	Back	TCU
21	247	Bob Conway	Back	Alabama
22	259	Bill Turnbeaugh	Tackle	Auburn
23	271	Bill Murray	End	American International
24	283	James Haslam Jr.	Tackle	Tennessee
25	295	Ike Jones	End	UCLA
26	307	George Bozanic	Back	USC
27	319	Jim McConaughey	End	Houston
28	331	Zack Jordan	End	Colorado
29	343	Henry O'Brien	Guard	Boston College
30	355	Al Barry	Guard	USC
