Episode	Date	Official ITV rating (millions)	Weekly rank	Share (%)	Official ITV HD rating (millions)	Total ITV viewers (millions)
Auditions 1	13 April	9.58	1	36.9	1.15	10.73
Auditions 2	20 April	9.72	1	43.9	1.43	11.15
Auditions 3	27 April	9.17	1	43.9	1.31	10.48
Auditions 4	4 May	9.60	1	45.0	1.31	10.91
Auditions 5	11 May	10.24	1	45.2	1.71	11.95
Auditions 6	18 May	9.11	1	38.1	1.25	10.36
Auditions 7	26 May	8.09	3	38.0	1.13	9.22
Semi-final 1	27 May	9.52	1	41.5	1.46	10.98
Semi-final 1 results	27 May	7.60	10	31.4	1.14	8.74
Semi-final 2	28 May	8.54	6	36.5	1.21	9.75
Semi-final 2 results	28 May	7.13	14	28.5	N/A	7.13
Semi-final 3	30 May	8.17	8	37.5	1.27	9.44
Semi-final 3 results	30 May	7.18	13	32.3	N/A	7.18
Semi-final 4	31 May	8.28	7	37.5	1.12	9.40
Semi-final 4 results	31 May	7.29	12	32.7	N/A	7.29
Semi-final 5	1 June	8.02	9	41.9	1.20	9.22
Semi-final 5 results	1 June	7.46	11	32.8	1.07	8.53
Live final	8 June	10.43	1	48.9	1.80	12.23
