Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	1976	La Costa , U.S.	Hard	Gene Mayer	Marty Riessen Roscoe Tanner	6–7, 6–7
Runner-up	1977	Columbus , U.S.	Clay	Gene Mayer	Robert Lutz Stan Smith	6–4, 5–7, 2–6
Runner-up	1977	Laguna Niguel , U.S.	Hard	Trey Waltke	James Chico Hagey Billy Martin	3–6, 4–6
Runner-up	1977	Johannesburg WCT , South Africa	Hard	Raymond Moore	Marty Riessen Roscoe Tanner	6–7, 6–7
Winner	1978	Monte Carlo WCT , Monaco	Clay	Tomáš Šmíd	Jaime Fillol Ilie Năstase	6–4, 7–5
Runner-up	1978	Wimbledon , London	Grass	John McEnroe	Bob Hewitt Frew McMillan	1–6, 4–6, 2–6
Winner	1978	South Orange , U.S.	Clay	John McEnroe	Ion Ţiriac Guillermo Vilas	6–3, 6–3
Winner	1978	San Francisco , U.S.	Carpet	John McEnroe	Robert Lutz Stan Smith	5–7, 6–4, 6–4
Runner-up	1978	Maui , U.S.	Hard	John McEnroe	Tim Gullikson Tom Gullikson	6–7, 6–7
Winner	1978	Cologne , Germany	Hard (i)	John McEnroe	Bob Hewitt Frew McMillan	6–3, 6–2
Winner	1978	Bologna , Italy	Carpet	John McEnroe	Jean-Louis Haillet Antonio Zugarelli	6–1, 6–4
Winner	1978	Johannesburg , South Africa	Hard	Raymond Moore	Bob Hewitt Frew McMillan	6–3, 7–6
Winner	1979	World Doubles WCT , London	Carpet	John McEnroe	Ilie Năstase Sherwood Stewart	3–6, 6–2, 6–3, 6–1
Runner-up	1979	Philadelphia , U.S.	Carpet	John McEnroe	Wojtek Fibak Tom Okker	7–5, 1–6, 3–6
Winner	1979	New Orleans , U.S.	Carpet	John McEnroe	Robert Lutz Stan Smith	6–1, 6–3
Winner	1979	Milan , Italy	Carpet	John McEnroe	José Luis Clerc Tomáš Šmíd	6–1, 6–3
Winner	1979	Rotterdam , Netherlands	Carpet	John McEnroe	Heinz Günthardt Bernard Mitton	6–4, 6–4
Winner	1979	San Jose , U.S.	Carpet	John McEnroe	Hank Pfister Brad Rowe	6–3, 6–4
Winner	1979	Rome , Italy	Carpet	Tomáš Šmíd	José Luis Clerc Ilie Năstase	4–6, 6–1, 7–5
Winner	1979	Wimbledon , London	Grass	John McEnroe	Brian Gottfried Raúl Ramírez	4–6, 6–4, 6–2, 6–2
Winner	1979	Forest Hills WCT , U.S.	Clay	John McEnroe	Gene Mayer Sandy Mayer	6–7, 7–6, 6–3
Winner	1979	South Orange , U.S.	Clay	John McEnroe	Fritz Buehning Bruce Nichols	6–1, 6–3
Winner	1979	Toronto , Canada	Hard	John McEnroe	Heinz Günthardt Bob Hewitt	6–7, 7–6, 6–1
Winner	1979	US Open , New York City	Hard	John McEnroe	Robert Lutz Stan Smith	6–2, 6–4
Winner	1979	San Francisco , U.S.	Carpet	John McEnroe	Wojtek Fibak Frew McMillan	6–1, 6–4
Winner	1979	Stockholm , Sweden	Hard (i)	John McEnroe	Wojtek Fibak Tom Okker	6–4, 6–4
Winner	1979	Wembley , England	Carpet	John McEnroe	Tomáš Šmíd Stan Smith	6–2, 6–3
Winner	1979	Bologna , Italy	Carpet	John McEnroe	Fritz Buehning Ferdi Taygan	6–1, 6–1
Winner	1980	Philadelphia , U.S.	Carpet	John McEnroe	Brian Gottfried Raúl Ramírez	6–3, 7–6
Winner	1980	Milan , Italy	Carpet	John McEnroe	Andrew Pattison Butch Walts	6–2, 6–7, 6–2
Winner	1980	Forest Hills WCT , U.S.	Clay	John McEnroe	Peter McNamara Paul McNamee	6–2, 5–7, 6–2
Runner-up	1980	Columbus , U.S.	Hard	Eliot Teltscher	Brian Gottfried Sandy Mayer	4–6, 2–6
Runner-up	1980	US Open , New York	Hard	John McEnroe	Robert Lutz Stan Smith	6–7, 6–3, 1–6, 6–3, 3–6
