Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
電車男	Densha Otoko	Fuji TV	11	21.0%
海猿 UMIZARU EVOLUTION	Umizaru Evolution	Fuji TV	11	13.2%
スローダンス	Slow Dance	Fuji TV	11	16.8%
がんばっていきまっしょい	Ganbatte Ikimasshoi	Fuji TV	10	12.4%
幸せになりたい!	Shiawase ni Naritai!	TBS	10	11.8%
女系家族	Nyokei Kazoku	TBS	11	13.85%
いま、会いにゆきます	Ima, Ai ni Yukimasu	TBS	10	11%
ドラゴン桜	Dragon Zakura	TBS	11	16.4%
はるか17	Haruka Seventeen	TV Asahi	10	8.9%
菊次郎とさき 2	Kikujirou to Saki 2	NTV	9	14.9%
女王の教室	Joou no Kyoushitsu	NTV	11	15.7%
