Outcome	Date	Tournament	Surface	Partner	Score in the final
Winner	18 January 1998	Hobart	Hard	Paola Suárez	7–6(6), 6–3
Winner	26 April 1998	Budapest	Clay	Paola Suárez	4–6, 6–1, 6–1
Winner	10 May 1998	Rome	Clay	Paola Suárez	7–6(1), 6–4
Runner-up	25 April 1999	Budapest	Clay	Laura Montalvo	6–3, 6–4
Winner	23 May 1999	Madrid	Clay	Paola Suárez	6–2, 0–6, 6–0
Winner	23 April 2000	Hilton Head	Clay	Paola Suárez	7–5, 6–3
Runner-up	11 June 2000	French Open	Clay	Paola Suárez	6–2, 6–4
Runner-up	10 July 2000	Palermo	Clay	Ruxandra Dragomir	6–4, 0–6, 7–6(6)
Winner	23 July 2000	Sopot	Clay	Paola Suárez	7–5, 6–1
Runner-up	21 August 2000	New Haven	Hard	Paola Suárez	6–4, 5–7, 6–2
Runner-up	7 January 2001	Hobart	Hard	Ruxandra Dragomir	6–4, 6–1
Runner-up	4 March 2001	Acapulco	Clay	Paola Suárez	6–4, 6–7(5), 7–5
Runner-up	11 March 2001	Indian Wells	Hard	Paola Suárez	6–4, 6–4
Runner-up	22 April 2001	Charleston	Clay	Paola Suárez	5–7, 7–6(5), 6–3
Winner	20 May 2001	Antwerp	Clay	Els Callens	6–3, 3–6, 6–4
Winner	26 May 2001	Madrid	Clay	Paola Suárez	7–5, 2–6, 7–6(4)
Winner	10 June 2001	French Open	Clay	Paola Suárez	6–2, 6–1
Winner	22 July 2001	Knokke-Heist	Clay	Magüi Serna	6–4, 6–3
Winner	24 February 2002	Bogotá	Clay	Paola Suárez	6–2, 6–1
Winner	3 March 2002	Acapulco	Clay	Paola Suárez	7–5, 6–1
Runner-up	1 April 2002	Miami	Hard	Paola Suárez	7–6(4), 6–7(4), 6–3
Winner	19 May 2002	Rome	Clay	Paola Suárez	6–3, 6–4
Winner	9 June 2002	French Open	Clay	Paola Suárez	6–4, 6–2
Runner-up	24 June 2002	Wimbledon	Grass	Paola Suárez	6–2, 7–5
Winner	18 August 2002	Montreal	Hard	Paola Suárez	6–4, 7–6(4)
Winner	8 September 2002	US Open	Hard	Paola Suárez	6–2, 6–1
Winner	14 September 2002	Bahia	Hard	Paola Suárez	6–4, 6–1
Winner	29 September 2002	Bali	Hard	Cara Black	6–2, 6–3
Runner-up	13 January 2003	Australian Open	Hard	Paola Suárez	4–6, 6–4, 6–3
Winner	13 April 2003	Charleston	Clay	Paola Suárez	6–0, 6–3
Runner-up	20 April 2003	Amelia Island	Clay	Paola Suárez	7–5, 6–2
Winner	11 May 2003	Berlin	Clay	Paola Suárez	6–3, 4–6, 6–4
Runner-up	8 June 2003	French Open	Clay	Paola Suárez	6–7(5), 6–2, 9–7
Runner-up	6 July 2003	Wimbledon	Grass	Paola Suárez	6–4, 6–4
