Venue	City	State	Tickets Sold / Available	Gross Revenue (1982)	Gross Revenue (2011)
Scandinavium	Gothenburg	SE	9,500 / 9,500 (100%)	$127,623	$292,730
Ice Stadium	Stockholm	SE	9,000 / 9,000 (100%)	$114,189	$261,916
Drammenshallen	Drammen	NO	3,500 / 3,500 (100%)	$21,219	$48,670
Hallenstadion	Zurich	CH	24,000 / 24,000 (100%)	$308,186	$706,889
Palais Des Sports	Paris	FR	9,000 / 9,000 (100%)	$124,304	$285,117
Palais Des Sports	Lyon	FR	13,000 / 13,000 (100%)	$179,549	$411,833
Forest National	Brussels	BE	18,000 / 18,000 (100%)	$242,552	$556,343
Groenoordhallen	Leiden	NL	22,000 / 22,000 (100%)	$355,320	$815,000
Festhalle	Frankfurt	DE	14,000 / 14,000 (100%)	$277,929	$637,488
Westfalenhallen	Dortmund	DE	16,242 / 16,500 (98%)	$322,438	$739,578
Eilenriedehalle	Hannover	DE	9,000 / 9,000 (100%)	$178,669	$409,814
Sporthalle	Cologne	DE	16,000 / 16,000 (100%)	$317,634	$728,559
Carl-Diem Halle	Würzburg	DE	8,000 / 8,000 (100%)	$158,817	$364,280
Sporthalle	Böblingen	DE	11,500 / 11,500 (100%)	$228,299	$523,651
Stadthalle	Vienna	AT	28,200 / 28,200 (100%)	$742,670	$1,703,467
Waldbühne	Berlin	DE	23,000 / 23,000 (100%)	$456,598	$1,047,303
Ernst-Merck Halle	Hamburg	DE	5,700 / 5,700 (100%)	$113,157	$259,549
Eissporthalle	Kassel	DE	8,000 / 8,000 (100%)	$158,816	$364,277
Olympiahalle	Munich	DE	32,000 / 32,000 (100%)	$635,267	$1,457,117
Elland Road	Leeds	UK	40,200 / 40,200 (100%)	$582,611	$1,336,339
Showground	Edinburgh	UK	36,000 / 36,000 (100%)	$347,826	$797,811
National Bowl	Milton Keynes	UK	65,000 / 65,000 (100%)	$942,032	$2,160,746
Montreal Forum	Montreal	QC	17,959 / 18,575 (97%)	$243,036	$557,454
Boston Gardens	Boston	MA	8,722 / 14,895 (59%)	$109,025	$250,071
The Spectrum	Philadelphia	PA	18,148 / 18,369 (99%)	$226,850	$520,328
Capital Centre	Washington	DC	8,150 / 9,378 (87%)	$101,875	$233,671
Madison Square Garden	New York City	NY	30,151 / 38,500 (78%)	$407,039	$933,628
Richfield Coliseum	Richfield	OH	10,273 / 18,544 (55%)	$128,413	$294,542
Maple Leaf Gardens	Toronto	ON	24,824 / 31,550 (79%)	$304,590	$698,640
Market Square Arena	Indianapolis	IN	9,015 / 16,530 (55%)	$121,703	$279,151
Joe Louis Arena	Detroit	MI	18,024 / 21,666 (83%)	$243,324	$558,114
Riverfront Coliseum	Cincinnati	OH	10,453 / 17,000 (61%)	$120,210	$275,727
Brendan Byrne Arena	East Rutherford	NJ	9,943 / 15,034 (66%)	$134,231	$307,887
New Haven Coliseum	New Haven	CT	10,275 / 11,171 (92%)	$118,163	$271,031
Poplar Creek Music Theater	Hoffman Estates	IL	21,202 / 24,000 (88%)	$190,818	$437,681
Civic Centre	St. Paul	MN	11,808 / 16,000 (74%)	$159,408	$365,635
Mississippi Coast Coliseum	Biloxi	MS	8,150 / 11,500 (71%)	$101,875	$233,671
The Summit	Houston	TX	13,453 / 16,000 (84%)	$171,526	$393,430
Reunion Arena	Dallas	TX	11,760 / 19,071 (62%)	$147,001	$337,175
The Omni	Atlanta	GA	10,378 / 16,400 (63%)	$129,725	$297,551
Myriad Arena	Oklahoma City	OK	10,772 / 15,634 (69%)	$129,264	$296,494
Kemper Arena	Kansas City	MO	10,285 / 18,000 (57%)	$115,706	$265,396
McNichols Arena	Denver	CO	10,264 / 16,600 (62%)	$135,485	$310,763
Portland Coliseum	Portland	OR	6,832 / 13,000 (53%)	$81,984	$188,047
Seattle Coliseum	Seattle	WA	9,930 / 16,641 (60%)	$131,573	$301,790
PNE Coliseum	Vancouver	BC	11,375 / 17,500 (65%)	$164,938	$378,320
Oakland Coliseum	Oakland	CA	10,969 / 20,000 (55%)	$137,113	$314,497
Veterans Memorial Arena	Phoenix	AZ	11,328 / 14,870 (76%)	$144,432	$331,285
Irvine Meadows	Irvine	CA	18,023 / 32,170 (56%)	$229,793	$527,078
The Forum	Inglewood	CA	20,502 / 36,000 (57%)	$266,526	$611,333
Kyuden Auditorium	Fukuoka	JP	36,423 / 40,000 (91%)	$1,988,047	$4,559,998
Hankyu Nishinomiya Stadium	Nishinomiya	JP	40,000 / 40,000 (100%)	$2,183,288	$5,007,824
Kosusai Tenjijo	Nagoya	JP	24,000 / 24,000 (100%)	$1,309,973	$3,004,695
Tsukisamu Dome	Sapporo	JP	30,000 / 30,000 (100%)	$1,637,466	$3,755,868
Seibu Lions Stadium	Tokorozawa	JP	35,879 / 36,000 (99%)	$1,958,355	$4,491,894
TOTAL	TOTAL	TOTAL	960,112 / 1,125,698 (83%)	$20,708,460	$47,499,146
