Rank	Nation	Gold	Silver	Bronze	Total
1	Romania	14	7	5	26
2	France	13	11	18	42
3	Canada	12	7	16	35
4	Poland	10	4	7	21
5	Morocco	8	6	7	21
6	Egypt	4	4	4	12
7	Mauritius	4	3	2	9
8	Quebec	2	7	7	16
9	Tunisia	2	3	4	9
10	Madagascar	1	4	2	7
11	Cameroon	1	3	5	9
12	Ivory Coast	1	3	1	5
13	French Community of Belgium	1	1	2	4
14	Haiti	1	1	1	3
14	Senegal	1	1	1	3
16	Chad	1	1	0	2
17	Gabon	1	0	1	2
18	Lithuania	0	5	6	11
19	Czech Republic	0	3	3	6
20	Luxembourg	0	2	2	4
21	New Brunswick	0	1	1	2
22	Burkina Faso	0	0	2	2
22	Switzerland	0	0	2	2
24	Benin	0	0	1	1
24	Bulgaria	0	0	1	1
24	Central African Republic	0	0	1	1
24	Cambodia	0	0	1	1
