Pick	Player	Team	Position	Hometown/School
1	Jeff Burroughs	Washington Senators	OF	Long Beach, CA
2	J.R. Richard	Houston Astros	RHP	Ruston, LA
3	Ted Nicholson	Chicago White Sox	3B	Laurel, MS
4	Randy Sterling	New York Mets	RHP	Key West, FL
5	* Alan Bannister	California Angels	SS	Buena Park, CA
6	Mike Anderson	Philadelphia Phillies	1B	Timmonsville, SC
7	Paul Ray Powell	Minnesota Twins	OF	Arizona State University
8	Terry McDermott	Los Angeles Dodgers	C	West Hempstead, NY
9	Don Stanhouse	Oakland Athletics	RHP	DuQuoin, IL
10	Bob May	Pittsburgh Pirates	RHP	Merritt Island, FL
11	Charlie Spikes	New York Yankees	3B-OF	Bogalusa, LA
12	Gene Holbert	Atlanta Braves	C	Campbelltown, PA
13	Noel Jenke	Boston Red Sox	OF	University of Minnesota
14	Don Gullett	Cincinnati Reds	LHP	Lynn, KY
15	Alvin McGrew	Cleveland Indians	OF	Fairfield, AL
16	Roger Metzger	Chicago Cubs	SS	St. Edward's University
17	Don Hood	Baltimore Orioles	LHP	Florence, SC
18	Mike Phillips	San Francisco Giants	SS	Irving, TX
19	John Young	Detroit Tigers	1B	Redding, CA
20	Charles Minott	St. Louis Cardinals	LHP	Covina, CA
21	Gorman Thomas	Seattle Pilots	SS	Charleston, SC
22	Balor Moore	Montreal Expos	LHP	Deer Park, TX
23	* John Simmons	Kansas City Royals	SS	Childersburg, AL
24	Randy Elliott	San Diego Padres	1B	Camarillo, CA
