Player	Position	First-Team Appearances	First-Team Goals	Current Club
Callum Robinson	Forward	Ongoing	Ongoing	Aston Villa
Derrick Williams	Defender	1	0	Bristol City
Graham Burke	Striker	Ongoing	Ongoing	Aston Villa
Samir Carruthers	Midfielder	Ongoing	Ongoing	Aston Villa
Gary Gardner	Midfielder	Ongoing	Ongoing	Aston Villa
Nathan Baker	Defender	Ongoing	Ongoing	Aston Villa
Chris Herd	Midfielder	Ongoing	Ongoing	Aston Villa
Jonathan Hogg	Midfielder	7	0	Huddersfield Town
Andreas Weimann	Forward	Ongoing	Ongoing	Aston Villa & Austria
Reece Caira	Defender	0	0	Wellington Phoenix
Harry Forrester	Midfielder	0	0	Doncaster Rovers
