Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification
1	Slipstream-Chipotle	Christian Vande Velde	no award	no award	Chris Anker Sørensen
2	Riccardo Riccò	Franco Pellizotti	Riccardo Riccò	Emanuele Sella	Chris Anker Sørensen
3	Daniele Bennati	Franco Pellizotti	Daniele Bennati	Emanuele Sella	Morris Possoni
4	Mark Cavendish	Franco Pellizotti	Daniele Bennati	Emanuele Sella	Morris Possoni
5	Pavel Brutt	Franco Pellizotti	Daniele Bennati	Emanuele Sella	Morris Possoni
6	Matteo Priamo	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
7	Gabriele Bosisio	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
8	Riccardo Riccò	Giovanni Visconti	Riccardo Riccò	Emanuele Sella	Giovanni Visconti
9	Daniele Bennati	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
10	Marzio Bruseghin	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
11	Alessandro Bertolini	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
12	Daniele Bennati	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
13	Mark Cavendish	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
14	Emanuele Sella	Gabriele Bosisio	Daniele Bennati	Emanuele Sella	Riccardo Riccò
15	Emanuele Sella	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
16	Franco Pellizotti	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
17	André Greipel	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
18	Jens Voigt	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
19	Vasil Kiryienka	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
20	Emanuele Sella	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
21	Marco Pinotti	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
