Round	Pick	Overall	Name	Position	College
2	3	16	Mike Sommer	HB	George Washington [b ]
3	3	28	Stan Flowers	RB	Georgia Tech
3	6	31	Bill Anderson	E	Tennessee
4	3	40	Dan Nolan	QB	Lehigh
5	5	54	Jim Van Pelt	QB	Michigan
6	5	66	Dick Lynch	DB	Notre Dame
7	5	78	Leon Bennett	OT	Boston College
8	5	90	Buddy Payne	E	North Carolina
9	5	102	Frank Kuchta	LB	Notre Dame
10	5	114	Ben Preston	OT	Auburn
11	5	126	Darrell Dess	G	North Carolina State
12	5	138	Eddie Michaels	G	Villanova
13	5	150	Ken Ford	QB	Hardin-Simmons
14	5	162	Jack Faris	E	Penn State
15	5	174	Jack Davis	G	Arizona
16	5	186	Fred Polzer	E	Virginia
17	5	198	Fred Wilt	OT	Richmond
18	5	210	Lennie King	RB	Connecticut
19	5	222	Don Stephenson	C	Georgia Tech
20	5	234	Lou Pelham	E	Florida
21	5	246	Jackie Simpson	LB	Mississippi
22	5	258	Charley Sanders	RB	West Texas State [v ]
23	5	270	Ron Schomburger	E	Florida State
24	5	282	Rod Hanson	E	Illinois
25	5	294	John Groom	G	Texas Christian
26	5	306	Frank Bloomquist	G	Iowa
27	5	318	Perry Gehring	E	Minnesota
28	5	330	Joe Biggs	G	Hardin-Simmons
29	5	342	Ed Coffin	RB	Syracuse
30	4	353	Ted Smith	E	Georgia Tech
