Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	20 April 1992	Hong Kong	Hard	Byron Talbot	Brad Gilbert Jim Grabb	2–6, 1–6
Winner	5 April 1993	Durban , South Africa	Hard	Lan Bale	Johan De Beer Marcos Ondruska	7–6, 6–2
Runner-up	12 July 1993	Newport , United States	Grass	Jim Pugh	Javier Frana Christo van Rensburg	6–4, 1–6, 6–7
Winner	26 July 1993	Washington, D.C. , United States	Hard	Rick Leach	Grant Connell Patrick Galbraith	6–4, 7–5
Runner-up	30 August 1993	Schenectady , United States	Hard	Brett Steven	Bernd Karbacher Andrei Olhovskiy	6–2, 6–7, 1–6
Winner	4 October 1993	Basel , Switzerland	Hard (i)	Jonathan Stark	Brad Pearce Dave Randall	3–6, 7–5, 6–3
Winner	11 October 1993	Toulouse , France	Hard (i)	Jonathan Stark	David Prinosil Udo Riglewski	7–5, 7–6
Winner	25 October 1993	Vienna , Austria	Carpet	Jonathan Stark	Mike Bauer David Prinosil	6–3, 7–6
Winner	8 November 1993	Paris , France	Carpet	Jonathan Stark	Tom Nijssen Cyril Suk	4–6, 7–5, 6–2
Runner-up	10 January 1994	Adelaide , Australia	Hard	David Adams	Mark Kratzmann Andrew Kratzmann	4–6, 3–6
Runner-up	31 January 1994	Australian Open , Melbourne	Hard	Jonathan Stark	Jacco Eltingh Paul Haarhuis	7–6, 3–6, 4–6, 3–6
Runner-up	7 February 1994	San Jose , United States	Hard (i)	Jonathan Stark	Rick Leach Jared Palmer	6–4, 4–6, 4–6
Winner	14 February 1994	Memphis , United States	Hard (i)	Jonathan Stark	Jim Grabb Jared Palmer	7–6, 6–4
Runner-up	28 February 1994	Indian Wells , United States	Hard	Jonathan Stark	Grant Connell Patrick Galbraith	5–7, 3–6
Winner	6 June 1994	French Open , Paris	Clay	Jonathan Stark	Jan Apell Jonas Björkman	6–4, 7–6
Winner	1 August 1994	Toronto , Canada	Hard	Jonathan Stark	Patrick McEnroe Jared Palmer	6–4, 6–4
Runner-up	10 October 1994	Sydney Indoor , Australia	Hard (i)	Jonathan Stark	Jacco Eltingh Paul Haarhuis	4–6, 6–7
Runner-up	17 October 1994	Tokyo Indoor , Japan	Hard	Jonathan Stark	Grant Connell Patrick Galbraith	3–6, 6–3, 4–6
Runner-up	7 November 1994	Paris , France	Carpet	Jonathan Stark	Jacco Eltingh Paul Haarhuis	6–3, 6–7, 5–7
Runner-up	9 January 1995	Adelaide , Australia	Hard	Grant Connell	Jim Courier Patrick Rafter	6–7, 4–6
Runner-up	15 May 1995	Hamburg , Germany	Clay	Andrei Olhovskiy	Wayne Ferreira Yevgeny Kafelnikov	1–6, 6–7
Winner	29 May 1995	Bologna , Italy	Clay	Jonathan Stark	Libor Pimek Vince Spadea	7–5, 6–3
Winner	13 November 1995	Moscow , Russia	Carpet	Jonathan Stark	Tommy Ho Brett Steven	6–4, 3–6, 6–3
Winner	19 February 1996	Dubai , UAE	Hard	Grant Connell	Karel Nováček Jiří Novák	6–0, 6–1
Runner-up	4 March 1996	Philadelphia , United States	Carpet	Grant Connell	Todd Woodbridge Mark Woodforde	6–7, 2–6
Runner-up	15 April 1996	New Delhi , India	Hard	Sandon Stolle	Jonas Björkman Nicklas Kulti	6–4, 4–6, 4–6
Winner	20 May 1996	Rome , Italy	Clay	Jonathan Stark	Libor Pimek Byron Talbot	6–2, 6–3
Winner	24 June 1996	Halle , Germany	Grass	Grant Connell	Yevgeny Kafelnikov Daniel Vacek	6–1, 7–5
Runner-up	8 July 1996	Wimbledon , England	Grass	Grant Connell	Todd Woodbridge Mark Woodforde	6–4, 1–6, 3–6, 2–6
Winner	19 August 1996	New Haven , United States	Hard	Grant Connell	Jonas Björkman Nicklas Kulti	6–4, 6–4
Runner-up	19 May 1997	Rome , Italy	Clay	Alex O'Brien	Mark Knowles Daniel Nestor	3–6, 6–4, 5–7
Winner	13 April 1998	Hong Kong	Hard	Alex O'Brien	Neville Godwin Tuomas Ketola	7–5, 6–1
Runner-up	1 March 1999	London , England	Carpet	Wayne Ferreira	Tim Henman Greg Rusedski	3–6, 6–7(6)
Winner	2 August 1999	Los Angeles , United States	Hard	Wayne Ferreira	Goran Ivanišević Brian MacPhie	6–2, 7–6(4)
Runner-up	9 August 1999	Montreal , Canada	Hard	Wayne Ferreira	Jonas Björkman Patrick Rafter	6–7(5), 4–6
Winner	16 August 1999	Cincinnati , United States	Hard	Jonas Björkman	Todd Woodbridge Mark Woodforde	6–3, 7–6(6)
Winner	1 November 1999	Stuttgart Indoor , Germany	Hard (i)	Jonas Björkman	David Adams John-Laffnie de Jager	6–7(6), 7–6(2), 6–0
Winner	28 February 2000	Mexico City , Mexico	Clay	Donald Johnson	Gastón Etlis Martín Rodríguez	6–3, 7–5
Winner	8 January 2001	Chennai , India	Hard	Wayne Black	Barry Cowan Mosé Navarra	6–4, 6–3
Runner-up	29 January 2001	Australian Open , Melbourne	Hard	David Prinosil	Jonas Björkman Todd Woodbridge	1–6, 7–5, 4–6, 4–6
Winner	24 September 2001	Shanghai , China	Hard	Thomas Shimada	John-Laffnie de Jager Robbie Koenig	6–2, 3–6, 7–5
