Rnd.	Circuit	LMP1 Winners	LMP2 Winners	LM GTE Pro Winners	LM GTE Am Winners	Report
1	Sebring	No. 10 Team Oreca Matmut	No. 26 Signatech Nissan	No. 56 BMW Motorsport	No. 57 Krohn Racing	Report
1	Sebring	Nicolas Lapierre Loïc Duval Olivier Panis	Franck Mailleux Soheil Ayari Lucas Ordoñez	Dirk Müller Joey Hand Andy Priaulx	Tracy Krohn Niclas Jönsson Michele Rugolo	Report
2	Spa-Francorchamps	No. 7 Peugeot Sport Total	No. 26 Signatech Nissan	No. 51 AF Corse	No. 61 AF Corse	Report
3	Le Mans	No. 2 Audi Sport Team Joest	No. 26 Signatech Nissan	No. 51 AF Corse	No. 50 Larbre Compétition	Report
3	Le Mans	Marcel Fässler André Lotterer Benoît Tréluyer	Franck Mailleux Soheil Ayari Lucas Ordoñez	Giancarlo Fisichella Gianmaria Bruni Toni Vilander	Patrick Bornhauser Julien Canal Gabriele Gardel	Report
4	Imola	No. 7 Peugeot Sport Total	No. 26 Signatech Nissan	No. 51 AF Corse	No. 50 Larbre Compétition	Report
4	Imola	Sébastien Bourdais Anthony Davidson	Franck Mailleux Soheil Ayari Lucas Ordoñez	Giancarlo Fisichella Gianmaria Bruni	Patrick Bornhauser Julien Canal Gabriele Gardel	Report
5	Silverstone	No. 7 Peugeot Sport Total	No. 35 OAK Racing	No. 51 AF Corse	No. 63 Proton Competition	Report
6	Road Atlanta	No. 8 Peugeot Sport Total	No. 33 Level 5 Motorsports	No. 51 AF Corse	No. 57 Krohn Racing	Report
6	Road Atlanta	Franck Montagny Stéphane Sarrazin Alexander Wurz	Scott Tucker Christophe Bouchut João Barbosa	Giancarlo Fisichella Gianmaria Bruni Pierre Kaffer	Tracy Krohn Niclas Jönsson Michele Rugolo	Report
7	Zhuhai	No. 7 Peugeot Sport Total	No. 26 Signatech Nissan	No. 55 BMW Motorsport	No. 63 Proton Competition	Report
