Autonomous Community	Hydroelectric power	Wind power	Solar power	Biomass power	Solid waste power	Total Renewable Generation	Total Electricity Demand	% Renewable of Total Electricity Demand
Castile and León	6960	3840	14	274	87	11175	15793	70.8%
Galicia	7561	5970	1	242	317	14091	20279	69.5%
La Rioja	124	897	1	3	2	1027	1860	55.2%
Aragón	3073	3342	1	63	8	6487	11885	54.6%
Navarre	379	2248	28	269	0	2924	5401	54.1%
Extremadura	2244	0	1	0	0	2245	5076	44.2%
Castile-La Mancha	710	3935	8	99	34	4786	12686	37.7%
Asturias	1680	357	0	221	400	2658	12391	21.5%
Cantabria	875	0	0	11	41	927	5693	16.3%
Catalonia	3223	301	7	77	241	3849	48498	7.9%
Andalusia	946	1042	5	728	0	2721	40737	6.7%
Basque Country	336	339	3	55	326	1059	20934	5.1%
Valencia	1041	266	13	55	0	1375	27668	5.0%
Canary Islands	0	288	0	0	0	288	9372	3.1%
Balearic Islands	0	5	0	0	133	138	6235	2.2%
Murcia	65	93	6	12	0	176	8334	2.1%
Madrid	83	0	8	58	330	479	30598	1.6%
Ceuta & Melilla	0	0	0	0	2	2	391	0.5%
